#SampleID	original-sample-ids	control	tokeep	Temperature	Long	Lat	Replicate	NAT	TemperatureEnvironmental	PHOS	DNAwhirlpak	SalinityEnviron	pHEnviron	DNAnotes	Year	Extrmethod	Polymerase	Date	Month	Day	TempAir	CHL	Person	Bottle	ChlEnviron	DOEnviron	well	Site	SiteCode	StationName	NIT	Description
E-SOG-6527	(S-st-6-5-27-r1, S-st-6-5-27-r2, S-st-6-5-27-r3)	n	Y	12.5	-123.785207	49.208873	no_data	no_data	no_data	no_data	no_data	25	8.5	no_data	2015	s	prime	no_data	5	27	no_data	no_data	F	no_data	(0.3712384, 0.428352, 0.428352)	10.4	no_data	no_data	no_data	SOG6	no_data	Sea
E-SOG-6619	(S-st-6-6-19-r1, S-st-6-6-19-r2, S-st-6-6-19-r3)	n	Y	(15.425, 15.553, 15.606)	-123.808121	49.213817	no_data	no_data	no_data	no_data	no_data	30	8.41	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	(2.8592496, 3.6463464, 3.6463464)	10.9	no_data	no_data	no_data	SOG6	no_data	Sea
E-SOG-7424	(S-st-7-4-24-r1, S-st-7-4-24-r3, S-st-7-4-24-r2)	n	Y	(11.04, 11, 11.02)	-123.680464	49.189396	no_data	no_data	no_data	no_data	no_data	30	8.6	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	(0.3408968, 0.3462512, 0.3462512)	NA	no_data	SOG7	SOG7	SOG7	no_data	Sea
E-T7-2014	(T7B, T7C, T7A)	n	Y	26.5	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	8.64	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	10.72	11.49	no_data	no_data	no_data	TroutLake	no_data	Lake
E-TB-2016	(E-TB-2016-2, E-TB-2016-3, E-TB-2016-1)	n	Y	18	-123.258216	49.273524	(2, 3, 1)	(29, 45, 4)	18	no_data	(41, 45, 39)	16	7.35	NA	2016	s	phusion	07-Jun-16	6	7	19	(29, 28, 31)	M	(A, O, P)	(7.730867232, 6.736568256, 6.39742752)	9.83	(C5, E5, A5)	TowerBeach	TB	no_data	(22, 43, 33)	brack
E-TC-2014	(TC7B, TC7C)	n	Y	21	-123.039279	49.014764	no_data	no_data	no_data	no_data	no_data	28	8.1	no_data	2014	s	prime	no_data	7	31	no_data	no_data	M	no_data	0.59	9.85	no_data	no_data	no_data	TsawwassenCent	no_data	Sea
E-TI-2014	(TI7A, TI7B)	n	Y	24.3	-123.10633	49.021125	no_data	no_data	no_data	no_data	no_data	22.5	7.98	no_data	2014	s	prime	no_data	7	31	no_data	no_data	M	no_data	1.455	9.43	no_data	no_data	no_data	TsawwassenIndian	no_data	Sea
E-TL-2016	(E-TL-2016-1, E-TL-2016-2, E-TL-2016-3)	n	Y	28.5	-123.061364	49.255245	(1, 2, 3)	(11, 15, ?)	28.5	no_data	(21, 17, 23)	0	6.44	400	2016	(p, s, s)	phusion	06-Jun-16	6	6	18	(46, 43, 3)	M	(O, K, G)	(11.60015472, 14.12829475, NA)	12.74	(E3, A3, G3)	TroutLake	TL	no_data	(25, 4, 34)	fresh
E-TL-Aug-2014	(E-f-TL-3-Aug, E-f-TL-2-Aug, E-f-TL-1-Aug)	n	Y	20.9	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	6.33	no_data	2014	s	prime	no_data	8	15	no_data	no_data	M	no_data	26.00552	3.57	no_data	no_data	no_data	TroutLake	no_data	Lake
E-TL-Jul-2014	(E-f-TL-2-Jul-a, E-f-TL-3-Jul-a, E-f-TL-1-Jul-a)	n	Y	28.8	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	9.17	no_data	2014	s	prime	no_data	7	9	no_data	no_data	M	no_data	36.95308	10.44	no_data	no_data	no_data	TroutLake	no_data	Lake
E-Tca-7-2014	(Tca7A, Tca7B, Tca7C)	n	Y	NA	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	NA	no_data	2014	s	prime	no_data	7	9	no_data	no_data	M	no_data	NA	NA	no_data	no_data	no_data	TroutLake	no_data	Lake
E-VP-2016	(E-VP-2016-2, E-VP-2016-3, E-VP-2016-1)	n	Y	19.8	-123.146222	49.278505	(2, 3, 1)	(23, 37, 13)	19.8	no_data	(40, 35, 25)	17	7.75	(NA, NA, spilled)	2016	s	phusion	07-Jun-16	6	7	23	(36, 37, 39)	M	(E, Q, K)	(12.10115808, 12.17823552, 13.18024224)	11.94	(B5, E4, A4)	VanierPark	VP	no_data	(36, 40, 13)	brack
E-WC-2016	(E-WC-2016-2, E-WC-2016-3, E-WC-2016-1)	n	Y	16.7	-123.289991	49.370701	(2, 3, 1)	(24, 29, 36)	16.7	no_data	(37, 4, 11)	20	7.86	NA	2016	(s, p, p)	phusion	08-Jun-16	6	8		(27, 32, 26)	M	(Q, D, A)	(14.31328061, 10.3360847, 11.32267594)	11.87	(G4, D1, C2)	WhyteCliffPark	WC	no_data	no_data	brack
E-WP-41	(R-wp-4-1-r3, R-wp-4-1-r2, R-wp-4-1-r1)	n	N	7	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	1	7.1	no_data	2015	s	prime	no_data	4	1	no_data	no_data	F	no_data	(1.7615976, 1.7615976, 1.5474216)	11.55	no_data	WellingtonPoint	WP	WellingtonPoint	no_data	River
E-WP-428	(R-wp-4-28-r2, R-wp-4-28-r3, R-wp-4-28-r1)	n	Y	10	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	5	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	(1.6848512, 1.6848512, 1.8704704)	11.47	no_data	no_data	no_data	WellingtonPoint	no_data	River
E-WP-526	(R-wp-5-26-r1, R-wp-5-26-r3, R-wp-5-26-r2)	n	Y	14	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	2	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	(1.7883696, 1.508156, 1.508156)	10.78	no_data	(no_data, no_data, Wellington Point)	(no_data, no_data, WP)	Wellington Point	no_data	River
E-WP-623	(R-wp-6-23-r1, R-wp-6-23-r2, R-wp-6-23-r3)	n	Y	17.1	-123.119359	49.086369	no_data	no_data	no_data	no_data	no_data	0.5	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	(1.0940824, 1.1904616, 1.1904616)	10.18	no_data	no_data	no_data	WellingtonPoint	no_data	River
E-WV-Aug-2014	(E-b-WV-1-Aug, E-b-WV-2-Aug, E-b-WV-3-Aug)	n	Y	17.9	-123.274147	49.355801	no_data	no_data	no_data	no_data	no_data	20	7.91	no_data	2014	s	prime	no_data	8	14	no_data	no_data	M	no_data	5.245058	8.82	no_data	no_data	no_data	WestVan	no_data	Sea
E-WV-Jula-2014	(WV7B, WV7A, WV7C)	n	Y	18.5	-123.274147	49.355801	no_data	no_data	no_data	no_data	no_data	15	8.37	no_data	2014	s	prime	no_data	7	28	no_data	no_data	M	no_data	9.94	8.37	no_data	no_data	no_data	WestVan	no_data	Sea
