# Constructed from biom file
#OTU ID	E-JT-526	E-SOG-4619	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-WP-623	E-SOG-6527	E-SOG-4424	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-LH-2016	E-BP-2016	E-TI-2014	E-PM-Aug-2014	E-DU-Jul-2014	E-JP-2016	E-JT-623	E-LS-428	E-SOG-4527	E-WV-Aug-2014	E-WC-2016	E-PM-Jul-2014	E-SOG-7424	E-SOG-2527	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-Tca-7-2014	E-FR-7-2014	E-DS-623	E-WP-526	E-PM-2016	E-BA-2016	E-MT-526	E-WV-Jula-2014	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-SOG-2619	E-SOG-6424	E-SOG-5527	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-SOG-3619	E-MT-428	E-TC-2014	E-SOG-1527	E-T7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424	taxonomy
126993	1.0	563.0	1.0	0.0	0.0	77.0	1.0	0.0	7.0	273.0	5819.0	0.0	315.0	14.0	190.0	184.0	2.0	76.0	1906.0	71.0	10.0	1.0	3641.0	899.0	110.0	532.0	273.0	296.0	0.0	177.0	172.0	1.0	0.0	0.0	0.0	35.0	18.0	1.0	597.0	26.0	44.0	79.0	1741.0	224.0	479.0	24.0	0.0	2395.0	1.0	636.0	0.0	652.0	1397.0	0.0	15.0	373.0	4557.0	90.0	1403.0	Eukaryota; __Cryptophyceae; __Cryptomonadales
109667	0.0	4.0	0.0	0.0	0.0	11.0	0.0	4.0	1.0	0.0	9.0	1.0	1.0	0.0	67.0	54.0	28.0	244.0	37.0	28.0	1.0	0.0	7.0	1237.0	622.0	17.0	0.0	18.0	0.0	97.0	5183.0	15.0	2.0	0.0	0.0	44.0	42.0	1.0	21746.0	0.0	0.0	69.0	8.0	1.0	0.0	8.0	0.0	3172.0	0.0	85.0	2.0	16.0	50.0	11.0	2.0	2.0	11.0	2.0	2.0	Eukaryota; __Stramenopiles; __Ochrophyta; __Raphidophyceae; __Chattonellales; __Heterosigma; __Heterosigma; __Heterosigma_akashiwo
42834	0.0	7.0	0.0	360.0	0.0	109.0	1.0	0.0	0.0	883.0	31.0	0.0	4.0	8.0	148.0	664.0	0.0	0.0	0.0	293.0	19.0	22.0	7710.0	0.0	246.0	0.0	14.0	8446.0	3.0	806.0	0.0	0.0	0.0	2.0	1.0	20.0	2.0	0.0	0.0	5.0	2.0	141.0	25.0	160.0	3.0	991.0	0.0	0.0	1.0	8.0	1.0	0.0	7801.0	0.0	856.0	14.0	1.0	129.0	25.0	Eukaryota; __Stramenopiles; __Ochrophyta; __Diatomea; __Bacillariophytina; __Mediophyceae; __Thalassiosira; __Thalassiosira_aestivalis
93773	1.0	12.0	0.0	419.0	0.0	155.0	0.0	0.0	0.0	1142.0	26.0	0.0	4.0	12.0	177.0	805.0	0.0	0.0	6.0	331.0	26.0	13.0	8030.0	0.0	230.0	0.0	9.0	7158.0	1.0	886.0	0.0	0.0	0.0	1.0	0.0	17.0	7.0	1.0	0.0	6.0	0.0	133.0	23.0	166.0	0.0	896.0	0.0	0.0	1.0	10.0	2.0	0.0	9147.0	1.0	910.0	19.0	1.0	100.0	19.0	Eukaryota; __Stramenopiles; __Ochrophyta; __Diatomea; __Bacillariophytina; __Mediophyceae; __Thalassiosira
127432	1.0	149.0	0.0	2.0	0.0	10.0	0.0	0.0	5.0	603.0	162.0	1.0	454.0	0.0	869.0	170.0	0.0	3621.0	330.0	1189.0	0.0	0.0	24.0	1676.0	6929.0	331.0	20.0	0.0	4.0	148.0	1431.0	6.0	0.0	0.0	0.0	256.0	5795.0	0.0	1653.0	0.0	0.0	1057.0	43.0	10.0	214.0	241.0	0.0	1863.0	4.0	811.0	0.0	1.0	129.0	4.0	0.0	25.0	71.0	597.0	473.0	Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae; __SL163A10; __uncultured; __uncultured; __uncultured_eukaryote
121453	242.0	25.0	123.0	36.0	0.0	0.0	1328.0	0.0	7.0	3.0	2622.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0	1588.0	2.0	0.0	0.0	0.0	0.0	46.0	8.0	0.0	1.0	1.0	5573.0	1.0	29.0	0.0	0.0	67.0	1.0	4952.0	849.0	30.0	4.0	2.0	38.0	0.0	0.0	0.0	3.0	2.0	5986.0	0.0	6.0	0.0	108.0	3517.0	60.0	0.0	244.0	Eukaryota; __Opisthokonta; __Metazoa; __Actinopterygii; __Actinopterygii; __Vertebrata; __Vertebrata; __Solea_senegalensis_(Senegalese_sole)
94101	272.0	15.0	163.0	35.0	0.0	0.0	1253.0	1.0	9.0	6.0	2551.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1776.0	0.0	1.0	0.0	0.0	2.0	44.0	3.0	0.0	0.0	1.0	4698.0	3.0	26.0	0.0	0.0	88.0	0.0	4557.0	871.0	33.0	0.0	7.0	32.0	0.0	0.0	0.0	5.0	4.0	6199.0	0.0	4.0	0.0	101.0	3115.0	57.0	0.0	297.0	Eukaryota; __Opisthokonta; __Metazoa; __Actinopterygii; __Actinopterygii; __Vertebrata; __Vertebrata; __Salmo_salar_(Atlantic_salmon)
126192	389.0	8.0	1138.0	3.0	626.0	0.0	3034.0	1.0	540.0	79.0	61.0	10.0	0.0	10.0	2.0	0.0	0.0	0.0	0.0	0.0	984.0	2000.0	5.0	0.0	1.0	0.0	0.0	236.0	730.0	2.0	0.0	95.0	758.0	990.0	252.0	0.0	0.0	957.0	0.0	250.0	26.0	0.0	0.0	48.0	1.0	0.0	10545.0	0.0	72.0	2.0	520.0	0.0	1.0	68.0	712.0	94.0	0.0	0.0	1.0	Eukaryota; __Cryptophyceae; __Cryptomonadales; __Cryptomonas; __Cryptomonas; __Cryptomonas; __Cryptomonas; __uncultured_freshwater_eukaryote
123582	350.0	10.0	1185.0	0.0	548.0	0.0	3091.0	3.0	611.0	81.0	81.0	8.0	0.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	911.0	2327.0	5.0	0.0	0.0	0.0	0.0	282.0	771.0	0.0	0.0	65.0	681.0	972.0	208.0	0.0	0.0	996.0	0.0	203.0	22.0	0.0	0.0	50.0	0.0	0.0	9507.0	0.0	69.0	3.0	551.0	0.0	2.0	73.0	713.0	108.0	0.0	0.0	0.0	Eukaryota; __Cryptophyceae; __Cryptomonadales; __Cryptomonas; __Cryptomonas; __Cryptomonas; __Cryptomonas
122169	0.0	0.0	0.0	1.0	6676.0	0.0	0.0	13167.0	0.0	0.0	0.0	2339.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3495.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2552.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; __Alveolata; __Ciliophora; __Spirotrichea; __Hypotrichia; __Halteria; __Halteria
