taxa	type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
43862	marineBloom	marineRestricted	2.7497579673375075e-06	0.00010108986532627622	0.0006277126152301016	24.5	27.0	5.9448196937977945e-06	0.29325845855725396	0.08223451001017135	marine	25.0	33.0
115657	brackishRestricted	brackishRestricted	3.183866234874043e-05	0.0006732559598094125	5.765027851634423e-05	16.0	18.5	9.202431944545804e-05	0.002197850411727868	0.2184766651639629	No	10.0	26.0
103433	brackishPeakLoToler	brackishRestricted	5.748367693540627e-05	0.00024139598215755907	0.0	3.0	8.0	0.006582979613006583	2.3973303918640685e-08	7.661633763763641e-05	No	0.0	7.0
80392	noclass	noclass	0.00017080813758623033	8.816991735230378e-06	0.0	1.5	8.0	0.36072624333588343	0.03457974597048679	0.01297479234934986	No	0.0	7.0
41044	brackishBloom	brackishRestricted	1.057554401314704e-05	0.00010962908117042618	0.0	3.0	8.0	0.04489018205984376	9.378655683849414e-05	0.02808109149699533	brackish	2.0	5.0
112449	noclass	noclass	1.6833318412976005e-05	0.00017279608948434655	1.561182752052955e-05	24.0	26.0	0.0002512680459405755	0.10246007478191388	0.25223670745875304	No	10.0	30.0
110545	noclass	noclass	1.952863257690589e-05	0.0004997320282600083	1.7096659874407937e-06	1.3333333333333333	3.6666666666666665	0.07386596454777204	0.0003449112539349477	0.05391841324288437	No	0.5	2.0
82281	freshRestricted	freshRestricted	0.00019133191243542237	2.3700809228064644e-05	0.0	1.3333333333333333	3.6666666666666665	0.22700301124541872	0.011645857392122023	0.00037487727973747583	No	0.0	0.0
57197	noclass	noclass	0.0	0.00012309746797914867	2.809123488213755e-05	9.0	16.0	0.0003267942802765156	0.0791298686270091	0.0065556219525067985	No	10.0	26.0
56870	noclass	noclass	2.836273294422442e-05	0.0004122900361965163	7.064604440049373e-06	1.3333333333333333	3.6666666666666665	0.344823192289913	0.054035418399438505	0.09035052638208085	No	0.0	10.0
51425	freshRestricted	freshRestricted	8.825953355008662e-05	8.287736037463924e-05	0.0	1.3333333333333333	3.6666666666666665	0.31219714719388114	0.0005037830168965392	0.010124413274268407	No	0.0	3.0
124824	noclass	noclass	4.9040354142633865e-06	8.280542675138987e-05	4.033944101267094e-05	9.0	13.5	0.024208273470030156	0.14019546328272486	0.15177167155858506	No	10.0	30.0
49994	noclass	noclass	5.160553921134384e-05	0.00024248360758615393	3.501768393038484e-06	1.3333333333333333	3.6666666666666665	0.14107491593377208	0.0003449112539349477	0.012799006547709952	No	0.0	10.0
46631	freshRestricted	freshRestricted	7.637181049490775e-05	0.00018521466699030495	0.0	1.5	8.0	0.0755030897545321	6.886068593130976e-07	0.0001237416603289657	No	0.0	5.0
118908	brackishRestricted	brackishRestricted	4.3590520098302555e-05	0.0002512695184972375	3.813598673458601e-06	1.3333333333333333	3.6666666666666665	0.011836442735781117	3.5173990037101828e-06	0.03325565188704708	No	0.0	3.0
114262	freshRestricted	freshRestricted	0.00018342812499077315	0.00020923157598277893	0.0	1.3333333333333333	3.6666666666666665	0.4839305053811647	2.143833170614461e-05	2.040315597102139e-06	No	0.0	3.0
103438	brackishPeakLoToler	brackishRestricted	5.026203105767722e-05	0.00017057920129576735	0.0	3.0	8.0	0.02198433852093441	2.3973303918640685e-08	7.661633763763641e-05	No	0.0	7.0
93084	noclass	noclass	0.0	0.00024169535877040013	2.5648002355155695e-05	23.0	25.0	6.027467825962239e-07	0.09532876935813595	0.006075096234512911	No	23.0	30.0
114221	freshRestricted	freshRestricted	0.0002003011408113228	0.00017717075640336918	2.546740649482534e-06	1.3333333333333333	3.6666666666666665	0.48351328111492814	0.0003449112539349477	9.276578747000276e-05	No	0.0	10.0
127495	noclass	noclass	2.9261157465694327e-06	0.0004524150319580025	0.0	24.0	26.0	0.009300549127685888	0.13060453321296983	0.33753890425729716	No	20.0	26.0
102501	marineBloom	marineRestricted	4.098128275488742e-06	0.00011829258586950975	0.0001717301027258251	23.0	27.0	2.2072237376612653e-06	0.25809992933117654	0.08564367738651735	marine	15.0	30.0
47376	marineRestricted	marineRestricted	0.0	4.181380445696726e-05	0.0003981271012263676	9.0	27.0	0.012480824009676194	0.3280838950366858	0.00945177150556067	No	10.0	28.0
118023	freshRestricted	freshRestricted	0.00016831456693543992	0.0	0.0	1.489795918367347	15.244897959183673	0.01391335786036306	1	0.012259069900074073	No	0.0	0.0
67989	freshRestricted	freshRestricted	0.00011856060357902044	0.00016132287188829896	1.9100554871119004e-06	1.3333333333333333	3.6666666666666665	0.16310044343121205	1.0838736177182059e-05	0.0025326280218340093	No	0.0	3.0
66908	freshRestricted	freshRestricted	0.00012616853967607332	0.0	0.0	3.0	17.0	0.015437161793347007	1	0.01994212747920803	No	0.0	2.0
43920	noclass	noclass	0.0	0.0001541286512155844	4.401690323772015e-05	6.5	10.0	0.00047414329487556895	0.12363962875569928	0.007114909484717842	No	10.0	25.0
113578	marineRestricted	marineRestricted	2.057903954135048e-05	0.0	0.0004166620181686702	16.0	27.0	0.07022672416692927	0.0010755193646392114	0.01615362660102163	No	2.0	33.0
111570	noclass	noclass	1.5629599335221042e-05	0.0005822500016120615	0.0	1.3333333333333333	3.6666666666666665	0.11024910680664962	0.0005037830168965392	0.0543401170037156	No	0.0	3.0
109148	freshRestricted	freshRestricted	9.994240408956219e-05	8.406394297733542e-05	3.473575995907792e-06	1.5	5.5	0.3943465300473865	0.00034779602899135466	0.0019080122953750763	No	0.0	7.0
102969	freshRestricted	freshRestricted	0.00014627654807227713	0.0	0.0	1.489795918367347	15.244897959183673	0.0016367302188002677	1	0.0013351271874309813	No	0.0	0.0
84050	noclass	noclass	0.00010833386976010117	0.0	0.0	3.0	17.0	0.03301884230850873	1	0.04024446817893563	No	0.0	2.0
67872	brackishRestricted	brackishRestricted	1.0404114732793958e-05	9.964250261119671e-05	2.7253939337307905e-06	3.0	10.0	0.0021432243568515258	0.0002130268328522756	0.481248088033123	No	2.0	15.0
45228	freshRestricted	freshRestricted	8.14727381553352e-05	5.0460476737990896e-05	0.0	6.5	10.0	0.39518751925427664	2.4997002253824245e-05	4.274180215456884e-06	No	0.0	5.0
91431	noclass	noclass	2.7518600360999927e-05	0.00026579335899641225	9.345000424772746e-05	24.0	26.0	0.005525934850809965	0.18260824419637162	0.41075003018197837	No	10.0	30.0
