taxa	type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
HM127504.1.1438	brackishRestricted	brackishRestricted	0.001358699429917843	0.0071723704663863895	0.000924696757602031	7.0	9.0	6.964798520218602e-05	3.27848713249586e-07	0.3290577037546477	No	3.24	10.86
HQ166728.1.1351	brackishRestricted	brackishRestricted	7.25566546545094e-05	0.011414526763151111	0.0012792501775134883	17.0	22.5	2.1251164349854973e-30	6.195940522386458e-05	9.855880096652209e-07	No	14.99	30.63
DQ009095.1.1982	brackishRestricted	brackishRestricted	0.0	0.0033082388510959943	0.00018501387604070305	11.0	13.0	1.2264610456916135e-10	0.0012294626169721	0.03898954326082131	No	11.2	14.49
GQ348655.1.1381	brackishRestricted	brackishRestricted	0.00018139163663627347	0.01518446428213298	0.0019130870773125545	17.0	33.0	5.364028909229563e-33	0.0009868643000099187	4.46148214944637e-07	No	17.38	33.02
JF317279.1.1470	brackishBloom	brackishRestricted	0.0	0.0006965481988666223	0.0001352298495155638	7.0	9.0	0.009338964736445039	0.020668541047146907	0.13495843836887234	brackish	7.47	11.2
FR744555.1.1406	brackishPeakHiToler	brackishRestricted	8.73374308774917e-05	0.015396842100886038	0.0047840792612293325	21.0	30.0	3.5380823366811982e-34	0.0019511374688587723	4.663106915940861e-13	No	20.4	31.91
FR683778.1.1492	marineRestricted	marineRestricted	3.860428948805197e-05	0.0063619914635081	0.004157903937803686	21.0	27.0	1.5174824413432268e-29	0.1291669553777378	1.4469954137911451e-16	No	21.46	34.05
EU801594.1.1490	brackishRestricted	brackishRestricted	0.00014247556562336597	0.004338876308643406	0.0	14.0	17.0	2.687499647513277e-08	7.982330769278194e-05	0.2070049293243602	No	10.5	16.9
HM129535.1.1453	brackishRestricted	brackishRestricted	0.0005848488229779567	0.0077907198632745185	0.001304526411601525	7.0	9.0	3.813575341645919e-08	6.960611223970011e-08	0.06934659652093758	No	6.22	11.47
JN976643.1.1473	brackishBloom	brackishRestricted	0.0018805226089680333	0.006834015612701389	0.0007116079518916814	7.0	10.0	0.0014893297048298013	1.0336626724753312e-06	0.07596837015100494	brackish	5.31	11.47
HQ242398.1.1290	brackishRestricted	brackishRestricted	0.00015720608508477038	0.018646031314417607	0.0014158296912290854	17.0	28.0	1.382093554838846e-32	1.954255090470213e-06	6.171145181116092e-05	No	14.99	28.96
EU801776.1.1366	brackishRestricted	brackishRestricted	0.0002864662524465796	0.003646543090285189	0.0	15.0	17.0	7.935820388052811e-06	8.70520907154429e-06	0.12405016777501049	No	7.22	16.9
EU799983.1.1222	marineRestricted	marineRestricted	0.0	0.014272188331056661	0.03278696042779724	22.5	29.0	5.255605339498854e-43	0.0186385650263455	1.0001892527160938e-38	No	26.64	35.17
FN668024.1.1494	freshRestricted	freshRestricted	0.004661499380649541	0.0003431182375407064	0.0	4.0	12.0	0.000128025404103608	0.05202604708011628	1.954371112960358e-05	No	2.57	11.2
HQ163193.1.1317	brackishBloom	brackishRestricted	0.0	0.001602471045428424	9.204383331884494e-05	7.0	9.0	0.005350427976199848	0.0029613591943644284	0.22051465018502375	brackish	7.25	12.06
EU394576.1.1498	marineRestricted	marineRestricted	0.0	0.0020914109370998107	0.011302682864035367	30.0	33.0	1.5475496953516536e-14	0.1288102696580855	9.218907513153205e-21	No	30.72	34.05
AY386336.1.1352	brackishPeakHiToler	brackishRestricted	0.0001881859383761518	0.03067969116890339	0.00733239701357846	17.0	32.0	1.566058514348943e-40	4.6757321484652125e-05	3.163347189952833e-15	No	14.99	33.82
AY386332.1.1367	brackishBloom	brackishRestricted	0.00014092373607272308	0.006277331076315418	0.0007275589749146547	20.0	25.0	1.0051525283126972e-07	0.03834510815052788	0.0046517983221166185	brackish	10.5	33.51
GU451392.1.1231	marineRestricted	marineRestricted	4.5562238017131404e-05	0.004734356586642655	0.001286008230452675	28.0	33.0	8.129578888356374e-19	0.044080006064392	0.0010815232885083628	No	28.57	33.02
FLOH01000017.755394.756875	brackishBloom	brackishRestricted	0.0	0.0029790630963584222	0.0	10.0	12.0	4.757033519422621e-08	0.00026385052280390514	1	brackish	10.86	11.37
GQ348002.1.1402	brackishRestricted	brackishRestricted	0.00025494024974544453	0.012341552925222252	0.0007905138339920949	14.0	16.0	2.5020155777396672e-18	3.454247413921569e-07	0.3853734630630702	No	11.2	34.05
GQ348124.1.1373	brackishPeakHiToler	brackishRestricted	0.0008743343613304884	0.030849040560105987	0.011227465644428962	17.0	33.0	9.041186101195699e-33	0.0019196487712862592	5.117468677195807e-09	No	10.5	33.82
LICG01000002.110609.111922	brackishPeakLoToler	brackishRestricted	0.011794103691547224	0.023022537628202475	0.00248405684841242	8.0	10.0	0.0009617093995942833	1.0676021992786482e-09	2.6252674449133363e-06	No	3.02	12.2
KC545740.1.1450	brackishRestricted	brackishRestricted	0.002830974966842325	0.015707491847110202	0.0018665258957850036	8.0	10.0	6.358228784436596e-08	1.606791278932622e-08	0.268722157809878	No	7.12	12.2
JN626820.1.1334	freshRestricted	freshRestricted	0.014408950479044563	0.004395288223670293	0.0003551215230193167	3.0	8.0	0.1606550736348183	4.945656946298379e-07	3.280959887866652e-05	No	2.57	9.47
GQ348272.1.1379	marineRestricted	marineRestricted	0.00028474975317080583	0.03022327597565061	0.14062241994084512	32.0	34.0	1.7881310242840195e-18	0.006960956664071978	1.1581890008649053e-27	No	30.72	35.2
EU234319.1.1490	brackishRestricted	brackishRestricted	0.0005509406743835122	0.002257298784027711	0.0	12.0	16.0	0.009207901949623051	0.0010666371304555032	0.06162232159616879	No	6.51	12.63
EU919817.1.1454	noclass	noclass	0.0015443505184807593	0.004104580053549617	0.0003094988942824875	5.0	9.0	0.18240857769965935	0.00028644133949893885	0.08375555754518788	No	2.99	8.55
FJ497552.1.1382	brackishBloom	brackishRestricted	0.0	0.0010202556923711258	0.0	8.0	13.0	9.460350489410446e-05	0.005251159807910693	1	brackish	8.3	12.08
JQ195448.1.1364	marineRestricted	marineRestricted	0.0	0.004042764742586282	0.006723855236384857	29.0	33.0	1.7169495717710807e-19	0.16865021498378924	2.309279952691355e-25	No	29.85	34.05
EF016482.1.1482	marineRestricted	marineRestricted	0.0002653255886211889	0.04123188232220692	0.016106108204711426	13.0	15.0	1.5402908624551155e-15	0.16511751636099492	1.554270406374177e-30	No	10.5	31.91
GU235207.1.1377	brackishRestricted	brackishRestricted	0.005488825997023904	0.056722728606748596	0.000752212389380531	8.0	16.0	1.4259409167244812e-10	1.1427987191448596e-08	0.015396101744533989	No	3.02	15.5
KX933406.1.1290	brackishPeakHiToler	brackishRestricted	8.257638315441784e-05	0.02399061347887723	0.01488471431230817	18.5	27.0	2.719424667441941e-30	0.018977876019509083	5.768408725663013e-32	No	17.38	33.82
GQ441355.1.1443	brackishRestricted	brackishRestricted	0.001098180190768943	0.012158114644692177	0.0013661671937834701	6.0	8.0	0.00011021880495850264	9.463876931428448e-08	0.40668352781599	No	5.61	12.64
EU005823.1.1423	brackishRestricted	brackishRestricted	0.0021410613573641375	0.013269890925223245	0.0020924189941997676	8.0	10.0	2.0276460371859357e-07	2.188300425614768e-06	0.2912884539519022	No	6.51	30.59
EU801968.1.1498	noclass	noclass	0.0	0.0008843089558732831	4.0933948979925995e-05	6.0	8.0	0.0163083201412195	0.001144931815392762	0.27910011203291607	No	6.24	7.7
KX933249.1.1380	brackishRestricted	brackishRestricted	0.0025252995141928666	0.016092660746947495	0.00358051975812281	7.0	10.0	1.1695964223058263e-08	1.1352528697102592e-07	0.02931814840385258	No	6.24	27.23
FN668174.1.1485	freshRestricted	freshRestricted	0.012224325734500812	0.0065101175239763885	0.00019460676868325138	4.0	9.0	0.005329982059788453	1.3521523585145273e-08	3.441880932110677e-12	No	2.81	8.36
GQ347854.1.1357	marineRestricted	marineRestricted	0.0	0.0073550680022465564	0.012691725804920723	22.5	28.0	1.3968151659672408e-28	0.16546413910874241	3.696633507288607e-32	No	23.77	33.77
EU802173.1.1211	brackishRestricted	brackishRestricted	0.00040227693274898685	0.003025475016312641	0.00017699115044247788	12.0	14.0	0.002872315309718962	0.005021698786497205	0.3045994883776285	No	7.25	16.9
GU235095.1.1363	marineRestricted	marineRestricted	0.00047557916401001467	0.001740773420491734	0.004364345124432321	8.0	31.0	0.0005423758162354518	0.07232163792674841	0.00013029492006762315	No	7.39	33.49
KJ411762.1.1435	noclass	noclass	0.0	0.004395733581026495	0.0	30.0	34.0	3.4927685799457274e-13	0.14651983101316673	1	No	30.63	33.82
GQ347899.1.1377	noclass	noclass	0.0	0.0031323768136762124	0.0	18.5	31.0	2.1199037898733877e-13	0.026652500225856475	1	No	20.4	30.91
GQ350651.1.1353	brackishRestricted	brackishRestricted	0.008804673398663783	0.02765592437604071	0.007598185237648534	7.0	9.0	2.4011886672668955e-06	3.8127892922929926e-08	0.44920011080018085	No	5.04	30.09
EU800298.1.1249	brackishRestricted	brackishRestricted	0.0028590278220432578	0.0076382205305085	0.0005002598102661783	6.0	8.0	0.006035463750665071	1.0343570311041351e-08	0.02222858061094131	No	5.05	12.06
GQ349265.1.1375	marineRestricted	marineRestricted	0.0	0.0029529687993957213	0.03570713974723252	25.0	34.0	1.2079126778276864e-15	0.0006010214850898074	2.5679954282908052e-42	No	29.85	35.2
KX934099.1.1377	marineRestricted	marineRestricted	0.00018798834797424237	0.007658220277994141	0.01544064041391242	25.0	31.0	3.4328259043457956e-20	0.15758389481599372	1.981049840070756e-16	No	11.1	34.05
HM446087.1.1415	freshRestricted	freshRestricted	0.01437015784654009	0.0007928351273417645	0.00012535511828548238	4.0	8.0	1.7423490980425654e-05	0.02225304138661844	3.8678591650312507e-10	No	2.66	7.67
GQ348789.1.1372	freshRestricted	freshRestricted	0.016822000931734114	0.0020845986435874078	6.92485907656384e-05	3.0	5.0	0.08646238383786026	7.927456489350612e-05	1.6020373359313265e-12	No	0.0	8.3
AB753890.1.1451	freshRestricted	freshRestricted	0.007062562220292155	0.00031699070160608623	0.0	4.0	6.0	0.00015330905139631097	0.005393042337831551	9.555339369350091e-23	No	2.66	5.31
FR685295.1.1420	brackishRestricted	brackishRestricted	0.0	0.010057864639666698	0.0020623872131992783	17.0	33.0	1.0143521094072303e-31	0.005146036553456192	6.5337230835465715e-06	No	17.93	32.51
FLMP01004438.2803.4058	noclass	noclass	0.0	0.003954294472693642	0.0	27.0	34.0	1.174355529661939e-09	0.19196404453646537	1	No	27.23	33.49
