OTU	midSal	startSal	endSal	peakSal_withzero	peakSal_nozero	abundances_withzero	abundances_withzero_maxstand	abundances_withzero_sumstand	abundances_nozero	abundances_nozero_maxstand	abundances_nozero_sumstand	position
HM127504.1.1438	3.1666666666666665	3	3.333333333333333	9.333333333333334	5.5	0.0014044943820224719	0.08096497025776603	0.01920236093169333	0.008426966292134831	0.44407274465001156	0.043806780894509026	withinBounds
HM127504.1.1438	3.5	3.333333333333333	3.75	9.333333333333334	5.5	0.0027894182586170667	0.16080175843792502	0.038137152328291325	0.011157673034468267	0.5879717939477512	0.05800209956573807	withinBounds
HM127504.1.1438	4.0	3.75	4.333333333333334	9.333333333333334	5.5	0.002194856642148163	0.1265270299591294	0.030008257758327685	0.014047082509748243	0.7402339428189169	0.07302241926444691	withinBounds
HM127504.1.1438	4.666666666666667	4.333333333333334	5.083333333333334	9.333333333333334	5.5	0.001552799348477535	0.0895143153828226	0.021229998443302277	0.012681194679233202	0.6682562539622544	0.06592198159286221	withinBounds
HM127504.1.1438	5.5	5.083333333333334	6.0	9.333333333333334	5.5	0.004394568248001346	0.25333393429654816	0.060082892973601705	0.01897654470727854	1.0	0.09864775855369057	withinBounds
HM127504.1.1438	6.5	6.0	7.0	9.333333333333334	5.5	0.0049011277468453485	0.28253559952402596	0.06700861546469003	0.0167586948763099	0.8831267828163695	0.08711847764356676	withinBounds
HM127504.1.1438	7.5	7.0	8.0	9.333333333333334	5.5	0.004783704464066552	0.27576649263442476	0.06540319483320568	0.016974435195074866	0.8944955710806638	0.08823998312331088	withinBounds
HM127504.1.1438	8.5	8.0	8.916666666666668	9.333333333333334	5.5	0.004648205671725985	0.26795538578185085	0.06355064437117719	0.015832950569316634	0.834343175406629	0.08230608411843263	withinBounds
HM127504.1.1438	9.333333333333334	8.916666666666668	9.666666666666668	9.333333333333334	5.5	0.0053849748676502605	0.3104279629586621	0.07362381248390308	0.01615492460295078	0.8513101226881671	0.083979835437255	withinBounds
HM127504.1.1438	10.0	9.666666666666668	10.25	9.333333333333334	5.5	0.0033916137703562913	0.1955165585264215	0.04637041813260932	0.010627056480449712	0.5600100884737809	0.05524373999539243	withinBounds
HM127504.1.1438	10.5	10.25	10.666666666666668	9.333333333333334	5.5	0.001631444110304392	0.0940479545940179	0.02230523599591657	0.009788664661826351	0.5158296630298489	0.0508854400534001	withinBounds
HM127504.1.1438	10.833333333333334	10.666666666666668	10.916666666666668	9.333333333333334	5.5	0.0008604660308073959	0.04960333589360282	0.011764361256633918	0.0057364402053826395	0.30229108058762677	0.029820337530742428	withinBounds
HM127504.1.1438	11.0	10.916666666666668	11	9.333333333333334	5.5	0.0	0.0	0.0	0	0.0	0.0	withinBounds
HM127504.1.1438	11.47	11.47	11.47	9.333333333333334	5.5	0.017346938775510204	1.0	0.23716875175226126	0.017346938775510204	0.9141252553135613	0.09017640747400293	outlier
HM127504.1.1438	11.2	11.2	11.2	9.333333333333334	5.5	0.006313131313131313	0.3639334521687463	0.08631364257175284	0.006313131313131313	0.3326807598809009	0.032818211276189425	outlier
HM127504.1.1438	12.08	12.08	12.08	9.333333333333334	5.5	0.011544011544011544	0.6654783125371361	0.15783066070263377	0.011544011544011544	0.6083305323536474	0.06001044347646066	outlier
HQ166728.1.1351	14.166666666666666	14	14.333333333333332	19.5	16.083333333333332	0.0031380753138075313	0.2749194407198735	0.03344185825553019	0.012552301255230125	0.7527559316370167	0.05558588342558356	withinBounds
HQ166728.1.1351	14.5	14.333333333333332	14.75	19.5	16.083333333333332	0.002510460251046025	0.21993555257589878	0.026753486604424153	0.012552301255230125	0.7527559316370167	0.05558588342558356	withinBounds
HQ166728.1.1351	15.0	14.75	15.333333333333332	19.5	16.083333333333332	0.0015690376569037657	0.13745972035993675	0.016720929127765096	0.012552301255230125	0.7527559316370167	0.05558588342558356	withinBounds
HQ166728.1.1351	15.666666666666666	15.333333333333332	16.083333333333332	19.5	16.083333333333332	0.005002538297346656	0.43826068317576466	0.053311077628262725	0.016675127657822187	1.0	0.07384316893352279	withinBounds
HQ166728.1.1351	16.5	16.083333333333332	17.0	19.5	16.083333333333332	0.005002538297346656	0.43826068317576466	0.053311077628262725	0.016675127657822187	1.0	0.07384316893352279	withinBounds
HQ166728.1.1351	17.5	17.0	18.0	19.5	16.083333333333332	0.007006788819188066	0.6138483850077514	0.07466998560764712	0.014013577638376132	0.8403880273625648	0.06205691507424384	withinBounds
HQ166728.1.1351	18.5	18.0	19.0	19.5	16.083333333333332	0.007944258444168885	0.6959779068384068	0.08466041706081537	0.014299665199503995	0.8575445713482212	0.06332380865009207	withinBounds
HQ166728.1.1351	19.5	19.0	20.0	19.5	16.083333333333332	0.011414526763151111	1.0	0.12164239156009869	0.013316947890342963	0.7986114507552855	0.05897200027036826	withinBounds
HQ166728.1.1351	20.5	20.0	21.0	19.5	16.083333333333332	0.008485721124764272	0.7434141862243696	0.0904306795320369	0.01060715140595534	0.6361061590421827	0.046972094561806205	withinBounds
HQ166728.1.1351	21.5	21.0	22.0	19.5	16.083333333333332	0.007177300803403051	0.6287865412496237	0.07648709865840689	0.010048221124764271	0.6025873583073122	0.04449696009669209	withinBounds
HQ166728.1.1351	22.5	22.0	23.0	19.5	16.083333333333332	0.006331975357710652	0.5547295555127015	0.06747862980163555	0.010553292262851087	0.6328762501497619	0.04673358785382329	withinBounds
HQ166728.1.1351	23.5	23.0	24.0	19.5	16.083333333333332	0.005405287114845937	0.47354456535995243	0.057603093440672076	0.008107930672268907	0.4862290015792192	0.035904690303992404	withinBounds
