"ClassNames"	"ttc.sorted"
"SL56.marine.group_"	"SL56.marine.group"	"1"
"Dehalococcoidia_"	"Dehalococcoidia"	"1"
"Oxyphotobacteria_"	"Oxyphotobacteria"	"17"
"Acidimicrobiia_"	"Acidimicrobiia"	"14"
"Actinobacteria_"	"Actinobacteria"	"24"
"marine.metagenome_"	"marine.metagenome"	"1"
"uncultured.bacterium_"	"uncultured.bacterium"	"1"
"uncultured.marine.bacterium_"	"uncultured.marine.bacterium"	"1"
"marine.metagenome_.1"	"marine.metagenome.1"	"1"
"OM190_"	"OM190"	"2"
"Phycisphaerae_"	"Phycisphaerae"	"4"
"Planctomycetacia_"	"Planctomycetacia"	"5"
"Verrucomicrobiae_"	"Verrucomicrobiae"	"13"
"Rhodothermia_"	"Rhodothermia"	"1"
"Bacteroidia_"	"Bacteroidia"	"78"
"Deltaproteobacteria_"	"Deltaproteobacteria"	"6"
"Campylobacteria_"	"Campylobacteria"	"3"
"Alphaproteobacteria_"	"Alphaproteobacteria"	"51"
"Gammaproteobacteria_"	"Gammaproteobacteria"	"54"
