	E-DS-623	E-JT-526	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-SOG-3619	E-SOG-6527	E-SOG-5527	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-SOG-2527	E-LH-2016	E-BP-2016	E-PM-Aug-2013	E-TI-2014	E-SOG-6424	E-SOG-1619	E-JP-2016	E-SOG-2619	E-FR-2014	E-LS-428	E-SOG-7424	E-WV-Aug-2014	E-WC-2016	E-SOG-1527	E-WV-7-2014	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-PM-7-2014	E-MT-526	E-Tca-2014	E-WP-526	E-PM-2016	E-SOG-4424	E-WP-623	E-SOG-4527	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-JT-623	E-DU-7-2014	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-MT-428	E-TC-2014	E-TL-7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424
E-DS-623	0.0	0.13004946	0.12590594	0.32038041	0.26046168	0.46023105	0.15552138	0.2055551	0.33668313	0.41656285	0.42868471	0.30158258	0.44804609	0.53102971	0.17892421	0.40181088	0.3799108	0.44659307	0.46978309	0.38869986	0.11456919	0.45318042	0.12023262	0.13693551	0.15336316	0.4489363	0.45496795	0.38541371	0.26896307	0.43480665	0.10482115	0.44208289	0.46550976	0.51270464	0.11843945	0.22097093	0.14263205	0.48348272	0.19860974	0.09279154	0.22907033	0.18097391	0.17380491	0.35259673	0.37290291	0.09128068	0.38212777	0.27576106	0.41975391	0.14447027	0.16183512	0.47580838	0.22579574	0.13188918	0.17848493	0.24044828	0.5301272	0.37507894
E-JT-526	0.13004946	0.0	0.0825014	0.35963815	0.29234824	0.44088203	0.11864356	0.19343966	0.32525471	0.44537349	0.46059953	0.28021888	0.47611285	0.50728087	0.13935573	0.37880198	0.35890484	0.42935041	0.44492833	0.36675352	0.13200053	0.43454742	0.17206442	0.17158549	0.10424148	0.44655818	0.46936635	0.38500507	0.24051327	0.42571111	0.14860503	0.42285097	0.4495022	0.4895903	0.10417015	0.17230877	0.10074437	0.4623069	0.15927228	0.1332912	0.20882933	0.12880893	0.12650303	0.33353709	0.36961087	0.14288464	0.38657115	0.31425856	0.41007853	0.15917649	0.11194704	0.4497829	0.17897456	0.11510724	0.14283555	0.21252018	0.55855802	0.35532116
E-LS-526	0.12590594	0.0825014	0.0	0.33769925	0.2850747	0.44433067	0.11650968	0.19454164	0.33101481	0.44743695	0.46356389	0.27064466	0.47901929	0.50665245	0.11946401	0.37970952	0.36062874	0.43925945	0.44137033	0.37256268	0.12240137	0.43901248	0.15636304	0.17451293	0.1034476	0.4540312	0.48073491	0.38679099	0.24004461	0.43370533	0.12933997	0.42832933	0.45490686	0.48851374	0.09848375	0.16568083	0.08579455	0.46136828	0.16402734	0.13184472	0.21772609	0.11667619	0.11306971	0.33604707	0.37845783	0.13754736	0.39152537	0.30884864	0.41642315	0.16536547	0.10188632	0.44798354	0.16472072	0.09688202	0.13241945	0.2210389	0.55782598	0.36170446
E-CR-2016	0.32038041	0.35963815	0.33769925	0.0	0.25638139	0.57521578	0.30046001	0.29533107	0.47555352	0.53143516	0.50499542	0.43079193	0.54028608	0.63050138	0.34431192	0.51722281	0.49995735	0.55205874	0.52886458	0.51179545	0.30425722	0.57206331	0.31694173	0.33344566	0.32006533	0.58124213	0.55575326	0.53594578	0.41365544	0.54188614	0.27643498	0.55617378	0.57694453	0.59841741	0.31290756	0.37679296	0.35819792	0.59433217	0.35596431	0.34175015	0.36432198	0.32507148	0.33524604	0.48636402	0.46449362	0.31509371	0.46632596	0.24901345	0.53355836	0.39208422	0.38495031	0.55446525	0.35990031	0.30952279	0.31304338	0.39359319	0.58571681	0.50937603
E-TL-2016	0.26046168	0.29234824	0.2850747	0.25638139	0.0	0.52205099	0.2980943	0.28821126	0.39420639	0.42926563	0.38538293	0.29818564	0.43224943	0.58216439	0.28220149	0.46272076	0.45195426	0.50593485	0.52445019	0.46235942	0.25567653	0.51604068	0.27171482	0.30883557	0.28297984	0.51687414	0.49706773	0.45303965	0.35997365	0.48288849	0.25385291	0.50554359	0.5257936	0.55571068	0.25051607	0.32335545	0.26887631	0.53656824	0.32538296	0.24920862	0.33371739	0.32270665	0.30596573	0.42365315	0.44936735	0.25219498	0.47000527	0.17557162	0.46177345	0.28328597	0.29904608	0.53950822	0.32612534	0.2599722	0.31089709	0.35256678	0.47608848	0.4646394
E-VP-2016	0.46023105	0.44088203	0.44433067	0.57521578	0.52205099	0.0	0.45549503	0.46106385	0.24958726	0.35490636	0.4738911	0.46550565	0.3274939	0.23882866	0.40279722	0.14465051	0.14580925	0.22464216	0.26571142	0.20303363	0.44188074	0.07650943	0.41330387	0.46353924	0.44312595	0.23876761	0.2803714	0.20380766	0.28216552	0.21547856	0.4703619	0.09865208	0.22467505	0.19288701	0.45539776	0.43162336	0.437849	0.14816319	0.36181403	0.46286831	0.31564568	0.44233876	0.43234708	0.17101926	0.30092482	0.46925287	0.23715816	0.51990513	0.16528514	0.45798306	0.44697031	0.23125715	0.43132603	0.45334401	0.4181117	0.30467689	0.53585269	0.21616099
E-DS-428	0.15552138	0.11864356	0.11650968	0.30046001	0.2980943	0.45549503	0.0	0.1512556	0.34564243	0.45632825	0.47126653	0.305196	0.48442205	0.52668071	0.16531923	0.39101204	0.3682176	0.44566607	0.43446353	0.37842254	0.13629395	0.44869736	0.16489934	0.15746453	0.0849671	0.4496496	0.46791357	0.41811291	0.26244697	0.43673053	0.13432869	0.43757397	0.4683945	0.50109444	0.13206117	0.19315665	0.14249769	0.48280618	0.14494276	0.15830284	0.20677739	0.09148953	0.09951183	0.35383625	0.35160915	0.15930164	0.36587369	0.32227698	0.42670957	0.19624713	0.14196604	0.45280404	0.18223792	0.12020266	0.08989691	0.21261636	0.5582819	0.36942864
E-TL-Aug-2014	0.2055551	0.19343966	0.19454164	0.29533107	0.28821126	0.46106385	0.1512556	0.0	0.33752607	0.45029175	0.46227637	0.29960784	0.47723713	0.51937299	0.20987265	0.39694522	0.3764681	0.43774855	0.43057737	0.38542658	0.19664551	0.4528906	0.211894	0.21272385	0.1593449	0.45122438	0.46200485	0.39929013	0.28055313	0.42526003	0.18115885	0.43902473	0.45932238	0.49220022	0.20222291	0.18514661	0.21934017	0.4780019	0.19867242	0.22516186	0.22863277	0.16399681	0.17075795	0.35451459	0.36057815	0.23380376	0.36442251	0.34856628	0.41904375	0.27176247	0.22413314	0.44981648	0.17134326	0.18362312	0.16026329	0.2438958	0.5548162	0.38311274
E-SOG-3619	0.33668313	0.32525471	0.33101481	0.47555352	0.39420639	0.24958726	0.34564243	0.33752607	0.0	0.3253564	0.38949952	0.37576371	0.2891691	0.3222607	0.31296172	0.23894743	0.21849859	0.29084734	0.35146848	0.22219605	0.31763512	0.24155633	0.29384583	0.35600474	0.32524167	0.26303261	0.33051154	0.17915028	0.26876264	0.25782664	0.33663762	0.25589884	0.31205311	0.29951471	0.33906758	0.34950272	0.33353736	0.26773527	0.28199895	0.33628371	0.25587968	0.3536537	0.33750596	0.19186686	0.29025028	0.35235623	0.2810791	0.41420131	0.2236105	0.35194368	0.34642423	0.34886465	0.35297043	0.33566107	0.31891876	0.24323389	0.49377823	0.24373265
E-SOG-6527	0.41656285	0.44537349	0.44743695	0.53143516	0.42926563	0.35490636	0.45632825	0.45029175	0.3253564	0.0	0.21655502	0.35657979	0.15552574	0.42749636	0.44991814	0.34705619	0.36220429	0.36092326	0.40701608	0.31876673	0.42111258	0.36404061	0.38543063	0.43352726	0.44947787	0.32398667	0.35194376	0.32684786	0.38808352	0.34987662	0.4419746	0.34045916	0.39645381	0.41163741	0.4519897	0.46962418	0.44731002	0.38892699	0.38870759	0.42140331	0.36832664	0.469263	0.45804282	0.3398879	0.33956076	0.42454955	0.37554	0.47833007	0.34051192	0.43750054	0.44918601	0.38812345	0.46801509	0.45090267	0.4294812	0.34710141	0.29471167	0.29972835
