taxa	pred_type	manual_est_range		type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
EF044234.1.1421	brackishRestricted	5 to 20	YES	brackishRestricted	brackishRestricted	0	0.007064165	0.000757098	5	8	0.000759909	5.71E-08	0.09826374	No	5	8
EF405798.1.1396	brackishRestricted	3 to 15	YES	brackishRestricted	brackishRestricted	0.029180014	0.254490386	0.00649774	9	12	1.18E-13	2.38E-13	0.008534665	No	9	12
EF471651.1.1421	freshRestricted	0 to 10	YES	freshRestricted	freshRestricted	0.005128427	0.000713489	0.00017056	4	7	0.004140725	0.04401936	6.46E-08	No	4.328525533	
EF568890.1.1250	brackishRestricted	5 to 13	 NO	noclass	noclass	0.001300746	0.006093801	0.000374668	6	8	0.020596528	2.18E-05	0.15467385	No		
EF568892.1.1206	brackishRestricted	5 to 10	 NO	noclass	noclass	0.000541814	0.006191247	5.50E-05	6	8	0.0103953	1.05E-06	0.055429097	No		
EF572108.1.1488				noclass	noclass	0	0.002112219	0	13	31	1.08E-07	0.082654994	1	No		
EF659441.1.1421				brackishRestricted	brackishRestricted	3.63E-05	0.010123633	0	30	33	1.66E-19	0.010243417	0.423497799	No	30	33
EF659449.1.1369	brackishRestricted	15 to 34	YES	brackishRestricted	brackishRestricted	0	0.006928853	0	17	33	2.79E-25	0.002559408	1	No	17	33
EU005823.1.1423				brackishRestricted	brackishRestricted	0.002141061	0.013269891	0.002092419	8	10	2.03E-07	2.19E-06	0.291288454	No	8	10
EU078507.1.1202				noclass	noclass	0.000228938	0.001607469	0.000191419	7	9	0.004717026	0.000957039	0.435313143	No		
EU234319.1.1490				brackishRestricted	brackishRestricted	0.000550941	0.002257299	0	12	16	0.009207902	0.001066637	0.061622322	No	12	16
EU258754.1.1428				noclass	noclass	0	0.011772566	0.002470356	29	34	4.79E-30	0.061908058	4.03E-12	No		
EU394576.1.1498	marineRestricted	30 to 35	YES	marineRestricted	marineRestricted	0	0.002091411	0.011302683	30	33	1.55E-14	0.12881027	9.22E-21	No	32.44488995	
EU703217.1.1396	freshRestricted	0 to 20	YES	freshRestricted	freshRestricted	0.025033959	0.003991071	0.00030147	4	15	2.48E-05	0.000417441	1.14E-07	No	5.640983832	
EU703239.1.1397				noclass	noclass	0.001258125	0.003418498	0.000500002	5	8	0.036556875	4.41E-05	0.496590946	No		
EU703277.1.1385				noclass	noclass	0	0.001244464	0.000331965	4	6	0.110310442	0.114852791	0.187581468	No		
EU703308.1.1345				freshRestricted	freshRestricted	0.009195282	0.0032328	0.000743336	4	9	0.009853527	0.000294385	3.78E-06	No	5.472716351	
EU799087.1.1203				brackishPeakHiToler	brackishRestricted	0.000398346	0.023911415	0.00899963	17	22.5	1.16E-23	0.000493309	2.62E-19	No	17	22.5
EU799093.1.1219				brackishRestricted	brackishRestricted	0	0.053888092	0.007850142	17	33	4.01E-40	0.000128819	1.26E-14	No	17	33
EU799523.1.1247	brackishRestricted	10 to 25	YES	brackishRestricted	brackishRestricted	0.000314846	0.010212354	0.000216014	18.5	21	4.07E-14	9.80E-06	0.37958738	No	18.5	21
EU799536.1.1475	brackishRestricted	24 to 34	 NO	noclass	noclass	0	0.003414652	0	25	33	1.45E-12	0.052579404	1	No		
EU799682.1.1253	marineRestricted	30 to 35	 NO	noclass	noclass	0.000248405	0.021814891	0.00444664	31	34	9.95E-27	0.087867168	0.000420858	No		
