taxa	pred_type	manual_est_range		type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
HM856503.1.1407				noclass	noclass	0	0.002328641	0.000153938	4	7	0.064270964	6.85E-05	0.310904007	No		
HQ163193.1.1317	brackishRestricted	6 to 12	YES	brackishBloom	brackishRestricted	0	0.001602471	9.20E-05	7	9	0.005350428	0.002961359	0.22051465	brackish	7	9
HQ163255.1.1374	marineRestricted	30 to 35	YES	marineRestricted	marineRestricted	5.84E-05	0.003403073	0.015263038	30	34	7.58E-08	0.00649471	5.24E-36	No	33.12008935	
HQ166728.1.1351	brackishRestricted	15 to 35	YES	brackishRestricted	brackishRestricted	7.26E-05	0.011414527	0.00127925	17	22.5	2.13E-30	6.20E-05	9.86E-07	No	17	22.5
HQ242398.1.1290				brackishRestricted	brackishRestricted	0.000157206	0.018646031	0.00141583	17	28	1.38E-32	1.95E-06	6.17E-05	No	17	28
HQ242471.1.1342				brackishRestricted	brackishRestricted	0	0.008353319	0.001253453	25	30	1.65E-24	0.00954105	3.77E-08	No	25	30
HQ242538.1.1238	brackishRestricted	6 to 34	YES	brackishPeakLoToler	brackishRestricted	0.004239645	0.014034577	0.000517828	20	33	5.56E-09	6.95E-05	0.115748605	No	20	33
HQ242551.1.1485				noclass	noclass	0	0.002078307	0.000213645	3	5	0.09167951	5.44E-05	0.337211666	No		
HQ242603.1.1271				marineRestricted	marineRestricted	0	0.003954707	0.009779372	21	29	8.15E-18	0.043901297	1.04E-27	No	25.76485772	
HQ671842.1.1493	marineRestricted	26 to 35	YES	marineRestricted	marineRestricted	6.83E-05	0.007034765	0.020288116	29	33	2.17E-09	0.008048152	8.05E-36	No	31.62185659	
HQ671936.1.1446	brackishRestricted	23 to 35	 NO	noclass	noclass	0	0.004474845	0.001089456	22.5	31	4.18E-19	0.039920702	2.88E-05	No		
HQ691907.1.1375				brackishRestricted	brackishRestricted	0.00185972	0.013587998	0.000660312	13	17	1.66E-05	3.93E-05	0.126083205	No	13	17
HQ871852.1.1272				brackishBloom	brackishRestricted	0.000284111	0.002811017	0.000740396	6	8	0.00072678	0.000218626	0.114837345	brackish	6	8
JF173429.1.1360				noclass	noclass	0.003304891	0.000916437	0.004564698	10	14	0.29772534	0.013332591	0.008145277	No		
JF317279.1.1470				brackishBloom	brackishRestricted	0	0.000696548	0.00013523	7	9	0.009338965	0.020668541	0.134958438	brackish	7	9
JF707868.1.1379	noclass	0 to 35	 NO	marinePeak	marineRestricted	0.079043614	0.106034833	0.213494561	27	33	0.00852676	0.003018437	2.78E-05	No	31.79549144	
JF927245.1.1203	marineRestricted	4 to 35	YES	marineRestricted	marineRestricted	0.002538816	0.011426372	0.047429978	6	34	2.96E-05	0.002395573	1.01E-05	No	28.45655742	
JN035168.1.1231	freshRestricted	3 to 12	 NO	noclass	noclass	0.001082251	0.004051941	0.000290242	3	5	0.257302503	0.000622726	0.102878787	No		
JN591867.1.1477	brackishRestricted	10 to 12	YES	brackishRestricted	brackishRestricted	0.000181891	0.01484932	0	14	16	1.23E-18	3.02E-09	0.197705602	No	14	16
JN626566.1.1356				brackishRestricted	brackishRestricted	0.002282541	0.010277783	0.001282922	8	11	2.82E-05	1.97E-05	0.183339566	No	8	11
JN626667.1.1336				noclass	noclass	0.004638378	0.009761631	0.001387689	4	8	0.072169308	9.51E-10	0.062440479	No		
JN626820.1.1334	freshRestricted	0 to 12	YES	freshRestricted	freshRestricted	0.01440895	0.004395288	0.000355122	3	8	0.160655074	4.95E-07	3.28E-05	No	4.437390021	
JN941872.1.1446				brackishBloom	brackishRestricted	0.002717991	0.026315789	0.000234338	15	17	0.235881762	0.02607375	0.019152059	brackish	15	17
JN975971.1.1410				brackishRestricted	brackishRestricted	0.000797824	0.002740367	0.000484197	8	10	0.010272009	0.001464066	0.177814265	No	8	10
JN976025.1.1394	brackishRestricted	5 to 17	YES	brackishRestricted	brackishRestricted	0.000729306	0.008291207	0.001560575	5	9	0.002563701	2.30E-06	0.232975481	No	5	9
JN976643.1.1473				brackishBloom	brackishRestricted	0.001880523	0.006834016	0.000711608	7	10	0.00148933	1.03E-06	0.07596837	brackish	7	10
JQ012964.1.1422				noclass	noclass	0.000127097	0.000974454	0	7	10	0.022108127	0.001167894	0.117450641	No		
JQ030885.1.1360				noclass	noclass	0.011421835	0.023916472	0.002005647	5	8	0.040650136	1.49E-14	0.000104404	No		
JQ195004.1.1356				brackishRestricted	brackishRestricted	0.000376579	0.030816136	0.006422925	22.5	34	9.61E-38	0.007281364	0.005710738	No	22.5	34
JQ195118.1.1306	brackishRestricted	20 to 34	YES	brackishRestricted	brackishRestricted	0.000180423	0.012952528	0.001331558	28	32	2.59E-23	0.004041328	0.06177613	No	28	32
JQ195388.1.1354				brackishRestricted	brackishRestricted	6.03E-05	0.019432147	0.001886332	17	25	4.70E-33	9.19E-06	1.51E-08	No	17	25
JQ195448.1.1364				marineRestricted	marineRestricted	0	0.004042765	0.006723855	29	33	1.72E-19	0.168650215	2.31E-25	No	30.59497217	
JQ195460.1.1293	brackishRestricted	10 to 34	YES	brackishRestricted	brackishRestricted	0.000218244	0.018320068	0.003561975	13	32	3.46E-31	0.000866865	1.34E-06	No	13	32
JQ195485.1.1356				brackishPeakHiToler	brackishRestricted	3.30E-05	0.022052341	0.007954035	18.5	31	1.37E-33	0.005469868	1.34E-16	No	18.5	31
JQ195940.1.1350	brackishRestricted	5 to 12	 NO	noclass	noclass	0	0.001803941	0.000134269	5	8	0.068774177	0.003924848	0.28100835	No		
JQ196066.1.1371				brackishRestricted	brackishRestricted	3.30E-05	0.007446724	0.000588486	18.5	25	3.08E-25	5.54E-05	0.003711369	No	18.5	25
JQ196389.1.1364				brackishRestricted	brackishRestricted	0.002246365	0.017306864	0.004085947	17	32	2.66E-18	0.00056683	0.018187911	No	17	32
JQ197300.1.1353	brackishRestricted	5 to 16	YES	brackishRestricted	brackishRestricted	0.002588089	0.008892462	0.001290166	7	10	2.25E-05	4.43E-07	0.427783679	No	7	10
JQ197513.1.1305				brackishPeakHiToler	brackishRestricted	0.001939153	0.101677789	0.040547858	21	30	3.01E-24	0.001095047	1.46E-21	No	21	30
JQ198792.1.1360				brackishPeakHiToler	brackishRestricted	6.35E-05	0.010406676	0.002447754	18.5	27	2.80E-29	0.000154451	4.75E-06	No	18.5	27
JQ199026.1.1355	brackishRestricted	16 to 34	YES	brackishPeakHiToler	brackishRestricted	7.48E-05	0.015117929	0.002944594	18.5	28	1.37E-32	4.90E-05	9.88E-09	No	18.5	28
JQ516703.1.1464				brackishRestricted	brackishRestricted	0.000199256	0.0102077	0	13	17	1.37E-10	1.04E-05	0.169392432	No	13	17
JQ712433.1.1370	brackishRestricted	6 to 12	YES	brackishRestricted	brackishRestricted	8.03E-05	0.006662763	8.41E-05	9	11	5.37E-08	7.56E-05	0.320585302	No	9	11
JX015798.1.1476	brackishRestricted	19 to 32	YES	brackishRestricted	brackishRestricted	0	0.005133731	0	17	32	2.63E-21	0.004848664	1	No	17	32
JX015889.1.1478				noclass	noclass	0.000243156	0.008668151	0	31	34	4.33E-07	0.093087063	0.356761441	No		
JX015909.1.1479				brackishRestricted	brackishRestricted	2.29E-05	0.013171991	0.001629812	13	15	2.47E-18	0.003795286	7.00E-08	No	13	15
JX015952.1.1492	brackishRestricted	23 to 34	YES	brackishBloom	brackishRestricted	0	0.008480075	0.002066835	22.5	27	9.09E-26	0.043094184	1.49E-11	brackish	22.5	27
JX016885.1.1476				brackishBloom	brackishRestricted	0.000870456	0.006143535	0.000417843	6	8	0.023637359	0.000330281	0.319224538	brackish	6	8
JX017047.1.1498	brackishRestricted	20 to 34	 NO	noclass	noclass	0.000180403	0.015042069	0.003082161	25	31	7.09E-18	0.065253285	9.65E-07	No		
JX105533.1.1481				brackishRestricted	brackishRestricted	0.000105608	0.004498245	0.000740581	8	10	1.42E-09	0.000120678	0.006311446	No	8	10
JX298417.1.1268	freshRestricted	0 to 13	YES	freshBloom	freshRestricted	0.001650551	0.000839553	0.000180049	4	8	0.134120432	0.004953472	0.00070431	fresh	5.793957139	
JX448586.1.1321				freshRestricted	freshRestricted	0.008137998	0.003610208	0.000691012	5	9	0.014773583	0.013379547	4.31E-05	No	6.567988164	
JX505253.1.1442	brackishRestricted	3 to 15	YES	brackishPeakLoToler	brackishRestricted	0.004677419	0.020206228	0.000359712	14	16	0.00288745	1.22E-07	2.46E-05	No	14	16
JX525665.1.1442	marineRestricted	30 to 35	YES	marineRestricted	marineRestricted	4.19E-05	0.003810636	0.026634438	32	34	2.32E-11	0.005708611	1.40E-37	No	33.71655468	
JX525782.1.1434				marineRestricted	marineRestricted	3.63E-05	0.004930176	0.00693456	30	32	7.36E-17	0.375199748	2.56E-15	No	30.58112401	
JX527130.1.1436				brackishRestricted	brackishRestricted	0.001228505	0.016737235	0.003126359	7	9	1.83E-08	5.24E-07	0.018300421	No	7	9
JX527236.1.1431				noclass	noclass	0.00017778	0.005879156	0.001752029	29	31	1.02E-06	0.198196839	0.001193133	No		
JX530399.1.1424	brackishRestricted	5 to 16	YES	brackishRestricted	brackishRestricted	0.001610811	0.009633963	0.000344249	7	16	1.31E-07	4.66E-08	0.09670067	No	7	16
JX537817.1.1330				brackishRestricted	brackishRestricted	0	0.005252997	0.00151389	4	6	0.009627963	0.001212353	0.080621119	No	4	6
KC000359.1.1363				brackishRestricted	brackishRestricted	8.46E-05	0.031577015	0.001875298	17	27	5.18E-32	2.73E-06	8.19E-05	No	17	27
KC358206.1.1310				brackishRestricted	brackishRestricted	0.001711864	0.012041318	0.000576121	12	14	0.001528691	0.000247673	0.07540598	No	12	14
KC492863.1.1394				brackishRestricted	brackishRestricted	0.000201009	0.0045203	0	11	13	3.79E-09	2.32E-05	0.21461646	No	11	13
KC492865.1.1411				brackishRestricted	brackishRestricted	0.000235754	0.004258787	0	10	12	3.52E-08	7.40E-06	0.133645075	No	10	12
KC492873.1.1382				brackishRestricted	brackishRestricted	9.04E-05	0.004116356	0	11	13	2.02E-11	3.37E-06	0.21461646	No	11	13
KC492874.1.1377				brackishRestricted	brackishRestricted	0.003415107	0.043687585	0.00138267	10	12	1.39E-13	5.37E-10	0.303846809	No	10	12
KC545740.1.1450				brackishRestricted	brackishRestricted	0.002830975	0.015707492	0.001866526	8	10	6.36E-08	1.61E-08	0.268722158	No	8	10
KC545744.1.1477	brackishRestricted	5 to 15	 NO	noclass	noclass	0.000279018	0.002967255	0.000351266	7	12	0.007285458	0.053938547	0.150811357	No		
KC899213.1.1361	brackishRestricted	5 to 15	YES	brackishBloom	brackishRestricted	0.000412927	0.002192487	0	14	17	0.028530933	0.001205936	0.046248385	brackish	14	17
KC899218.1.1345				brackishRestricted	brackishRestricted	6.65E-05	0.022717395	0.000407258	13	15	1.54E-15	5.23E-06	0.282083883	No	13	15
KC899249.1.1306				brackishRestricted	brackishRestricted	0.003519055	0.016462273	0.002313813	18.5	21	0.009322453	0.008356141	0.325395733	No	18.5	21
KF003213.1.1520	brackishRestricted	5 to 15	YES	brackishRestricted	brackishRestricted	0.002223303	0.014760181	0.002497754	5	8	0.00119758	6.59E-09	0.418254873	No	5	8
KF384203.1.1275	freshRestricted	0 to 13	YES	freshRestricted	freshRestricted	0.060910734	0.027680322	0.002246756	3	8	0.341725109	7.00E-14	4.31E-05	No	5.167732787	
KF384235.1.1233	freshRestricted	0 to 15	YES	freshRestricted	freshRestricted	0.070844227	0.022312531	0.003106345	3	7	0.001975877	8.21E-18	7.19E-09	No	4.134147376	
KF596513.1.1485				brackishRestricted	brackishRestricted	0.000271885	0.002096807	0	11	15	6.91E-06	0.000191405	0.118265489	No	11	15
KF596556.1.1479	brackishRestricted	3 to 12	 NO	noclass	noclass	0.002655852	0.004502002	0.000278635	5	8	0.316981484	8.23E-07	0.001788231	No		
KF596560.1.1523	brackishRestricted	6 to 15	 NO	noclass	noclass	0.000851175	0.003969614	0	14	16	0.00238472	3.24E-05	0.04746894	No		
KF766879.1.1445				brackishRestricted	brackishRestricted	0.002662497	0.008195243	0.000707571	6	8	0.011699238	2.24E-08	0.009450153	No	6	8
KF799125.1.1509				brackishRestricted	brackishRestricted	0.000301004	0.006436314	0	15	17	0.01324322	0.001542285	0.124050168	No	15	17
KF799153.1.1429	brackishRestricted	4 to 15	YES	brackishRestricted	brackishRestricted	0.000953595	0.013095912	0.001816353	7	10	2.97E-07	6.09E-07	0.085355997	No	7	10
KJ365348.1.1418				marineRestricted	marineRestricted	0	0.001555024	0.008496371	30	33	6.89E-06	0.015013652	1.72E-30	No	32.45093359	
KJ411762.1.1435				noclass	noclass	0	0.004395734	0	30	34	3.49E-13	0.146519831	1	No		
KJ590592.1.1453				brackishRestricted	brackishRestricted	0	0.005186728	0.000627878	17	27	2.28E-21	0.001585829	0.00010006	No	17	27
KJ702647.1.1236				marineRestricted	marineRestricted	0.001327876	0.005188064	0.014332419	18.5	34	5.72E-07	0.157246987	0.001714077	No	29.39907631	
KM520722.1.1302				brackishRestricted	brackishRestricted	0.000233012	0.029032543	0.005655594	21	32	4.52E-30	0.001896777	0.000968173	No	21	32
KP005055.1.1295				brackishRestricted	brackishRestricted	0	0.002558354	0.000415339	8	10	8.33E-09	0.00054918	0.005670808	No	8	10
KP030834.1.1431				brackishBloom	brackishRestricted	0	0.000642485	7.93E-05	6	8	0.01630832	0.004097073	0.199947317	brackish	6	8
KP307833.1.1317	marineRestricted	8 to 35	YES	marineRestricted	marineRestricted	0.000345269	0.006579789	0.016913193	16	34	6.62E-16	0.027096663	9.96E-16	No	27.2265893	
KP686964.1.1448	freshRestricted	0 to 8	YES	freshRestricted	freshRestricted	0.019288577	0.000311182	0	4	8	7.62E-07	0.060019404	3.05E-11	No	4.064531819	
KP994505.1.1374	brackishRestricted	3 to 13	YES	brackishRestricted	brackishRestricted	0.001151036	0.012069499	0.000384426	9	11	2.46E-06	2.06E-06	0.09982872	No	9	11
KU578425.1.1380	brackishRestricted	4 to 9	 NO	noclass	noclass	0.000355303	0.000966458	0	6	9	0.044972031	0.0002703	0.06542745	No		
KX932710.1.1388	brackishRestricted	4 to 15	YES	brackishRestricted	brackishRestricted	0.001703938	0.007597367	0.000642289	7	9	3.66E-05	4.41E-09	0.185126857	No	7	9
KX933249.1.1380				brackishRestricted	brackishRestricted	0.0025253	0.016092661	0.00358052	7	10	1.17E-08	1.14E-07	0.029318148	No	7	10
KX933406.1.1290	marineRestricted	16 to 35	 NO	brackishPeakHiToler	brackishRestricted	8.26E-05	0.023990613	0.014884714	18.5	27	2.72E-30	0.018977876	5.77E-32	No	18.5	27
KX933608.1.1391				brackishRestricted	brackishRestricted	0	0.007363854	0	25	31	8.01E-19	0.009384204	1	No	25	31
KX934099.1.1377				marineRestricted	marineRestricted	0.000187988	0.00765822	0.01544064	25	31	3.43E-20	0.157583895	1.98E-16	No	28.06140339	
KX935689.1.1422				brackishRestricted	brackishRestricted	0	0.010926526	0.000605254	17	31	1.56E-30	0.000543416	4.03E-05	No	17	31
KX935857.1.1435				marineRestricted	marineRestricted	0.000165367	0.000908279	0.011671196	8	34	0.000605337	4.89E-05	2.48E-14	No	32.32122367	
KX936523.1.1482				brackishRestricted	brackishRestricted	0.010796409	0.027971396	0.003766554	7	9	6.64E-06	1.09E-13	0.000988602	No	7	9
KX936764.1.1491				brackishPeakHiToler	brackishRestricted	0	0.018558733	0.005444586	25	34	2.11E-40	0.013712084	7.22E-22	No	25	34
LIAR01000023.9798.11354				brackishRestricted	brackishRestricted	0.002462378	0.029570925	0.001140602	4	17	6.65E-06	8.16E-14	0.222238242	No	4	17
LICG01000002.110609.111922				brackishPeakLoToler	brackishRestricted	0.011794104	0.023022538	0.002484057	8	10	0.000961709	1.07E-09	2.63E-06	No	8	10
LICP01000479.1.1260	brackishRestricted	3 to 15	YES	brackishPeakLoToler	brackishRestricted	0.043193918	0.075053443	0.011216707	8	10	0.000785794	7.53E-11	6.84E-13	No	8	10
MSPQ01000026.1.1310				noclass	noclass	0	0.000930112	0	6	8	0.0245812	0.000577696	1	No		
			77													
			100	18 noclass												
			0.77	95												
