Taxa	Fresh	Brackish	Marine	total
__Cercozoa__Thecofilosea__Ebriacea	NA	0.235294117647059	0.764705882352941	21
__Choanoflagellida__Craspedida__Codosigidae	NA	1	NA	1
__Cryptomonadales__Hemiselmis__Hemiselmis	NA	0.5	0.5	10
__Cryptomonadales__FV18-2G7__FV18-2G7	NA	NA	1	15
__Fungi__Cryptomycota__Incertae_Sedis	0.0833333333333333	0.694444444444444	0.222222222222222	63
__Ochrophyta__Chrysophyceae__TKR07M.92	0.692307692307692	0.307692307692308	NA	18
__Ciliophora__Spirotrichea__Choreotrichia	0.317073170731707	0.48780487804878	0.195121951219512	52
__Ochrophyta__Chrysophyceae__Ochromonadales	0.706896551724138	0.293103448275862	NA	77
__Metazoa__Platyhelminthes__Trematoda	NA	NA	1	9
__Ochrophyta__Chrysophyceae__Chromulinales	0.375	0.625	NA	56
__Prymnesiophyceae__Phaeocystis__Phaeocystis	NA	NA	1	29
__Kathablepharidae__Leucocryptos__Leucocryptos	NA	NA	NA	5
__Cryptomonadales__Rhodomonas__Rhodomonas	0.333333333333333	0.666666666666667	NA	8
__Cercozoa__Phytomyxea__Woronina	NA	1	NA	5
__Dinoflagellata__Dinophyceae__Dinophysiales	NA	NA	NA	8
__Fungi__Mucoromycotina__Mucoromycotina	1	NA	NA	5
__Rhodophyceae__Florideophycidae__Rhodymeniophycidae	NA	NA	1	4
__Ochrophyta__Diatomea__ME-Euk-FW10	NA	1	NA	1
__Metazoa__Cnidaria__Hydrozoa	0.210526315789474	0.263157894736842	0.526315789473684	26
__Ochrophyta__Chrysophyceae__E222	NA	1	NA	29
__Protalveolata__Syndiniales__Amoebophrya	NA	0.526315789473684	0.473684210526316	26
__Cercozoa__Imbricatea__p15D09	NA	1	NA	7
__Metazoa__Cyclocoela__Cyclocoela	NA	NA	NA	2
__Choanoflagellida__Acanthoecida__Stephanoecidae	0.2	0.7	0.1	15
__Chloroplastida__Chlorophyta__Ulvophyceae	NA	0.714285714285714	0.285714285714286	11
__Protalveolata__Syndiniales__Syndiniales_Group_II	NA	0.611111111111111	0.388888888888889	28
__Chloroplastida__Chlorophyta__Chlorodendrophyceae	NA	0.416666666666667	0.583333333333333	15
__Cercozoa__Imbricatea__Novel_Clade_3	NA	0.833333333333333	0.166666666666667	11
__Cercozoa__Thecofilosea__NW617	NA	0.785714285714286	0.214285714285714	28
__Choanoflagellida__Craspedida__Salpingoecidae	0.888888888888889	0.111111111111111	NA	19
__Fungi__Ascomycota__Leotiomycetes	0.5	0.5	NA	16
__Cercozoa__Imbricatea__Spongomonadida	1	NA	NA	11
__Apicomplexa__Conoidasida__Gregarinasina	1	NA	NA	28
__Cercozoa__Glissomonadida__Heteromita	0.2	0.8	NA	16
__Cercozoa__Imbricatea__Silicofilosea	NA	0.6	0.4	14
__Metazoa__Annelida__Clitellata	1	NA	NA	16
__Fungi__Ascomycota__Dothideomycetes	0.857142857142857	0.142857142857143	NA	11
__Metazoa__Platyhelminthes__Rhabditophora	NA	NA	NA	12
__Metazoa__Porifera__Demospongiae	1	NA	NA	6
__Cryptomonadales__Geminigera__Geminigera	NA	NA	1	2
__Ciliophora__Heterotrichea__Stentor	NA	1	NA	8
__Dinoflagellata__Noctilucales__Noctiluca	NA	1	NA	4
__Peronosporomycetes__Aphanomyces__Aphanomyces	NA	1	NA	1
__Dinoflagellata__Dinophyceae__SCM37C58	NA	NA	1	2
__Fungi__Ascomycota__Eurotiomycetes	NA	1	NA	7
__Cercozoa__Thecofilosea__BOLA322	NA	NA	NA	3
__Fungi__Ascomycota__Sordariomycetes	0.454545454545455	0.545454545454545	NA	14
__Ochrophyta__Chrysophyceae__CCI40	0.333333333333333	0.666666666666667	NA	10
__Prymnesiophyceae__Prymnesiales__Prymnesium	NA	NA	1	2
__Prymnesiophyceae__Isochrysidales__ESS2202	NA	1	NA	2
__Metazoa__Rotifera__Bdelloidea	1	NA	NA	12
__Dinoflagellata__Dinophyceae__B7	1	NA	NA	1
__Cryptomonadales__Komma__Komma	1	NA	NA	2
__Cercozoa__Clathrulinidae__Hedriocystis	NA	1	NA	2
__Cercozoa__Phytomyxea__Maullinia	NA	NA	1	1
__Filasterea__Filasterea__Ministeriida	NA	1	NA	4
__Labyrinthulomycetes__Thraustochytriaceae__Thraustochytriaceae	NA	NA	NA	2
__Metazoa__Arthropoda__Malacostraca	NA	NA	NA	6
__Prymnesiophyceae__Prymnesiales__OLI16029	NA	NA	1	6
__Cryptomonadales__Chroomonas__Chroomonas	NA	1	NA	1
__Metazoa__Arthropoda__Ostracoda	NA	NA	NA	5
__Protalveolata__Syndiniales__Syndiniales_Group_III	NA	NA	1	1
__Metazoa__Mollusca__Gastropoda	NA	NA	1	4
__Prymnesiophyceae__Prymnesiales__Haptolina	NA	NA	1	1
__Ichthyosporea__Ichthyosporea__Ichthyophonae	NA	NA	1	6
__Cercozoa__Chlorarachniophyta__NOR26	NA	NA	NA	2
__Prymnesiophyceae__Prymnesiales__AI5F14RJ2A07	NA	NA	1	1
__Cercozoa__Thecofilosea__NIF-3A7	NA	NA	NA	1
__Ochrophyta__Chrysophyceae__P34.45	1	NA	NA	5
__Cercozoa__Thecofilosea__WHOI-LI1-14	0.333333333333333	0.5	0.166666666666667	7
__Choanoflagellida__Craspedida__Codonosigidae	NA	NA	NA	3
__Metazoa__Arthropoda__Branchiopoda	NA	NA	NA	4
__Cercozoa__Cercomonadidae__Cercomonas	NA	1	NA	3
__Ochrophyta__Eustigmatophyceae__Eustigmatales	0.333333333333333	0.666666666666667	NA	6
__Dinoflagellata__Dinophyceae__CCMP1878	NA	NA	NA	3
__Cercozoa__CCW10__CCW10	NA	1	NA	2
__Fungi__Ascomycota__Saccharomycetes	NA	1	NA	4
__Prymnesiophyceae__Prymnesiales__OLI51059	NA	NA	1	2
__Ochrophyta__Chrysophyceae__I76	NA	NA	NA	2
__Cercozoa__Thecofilosea__Amb-18S-431	1	NA	NA	2
__Cercozoa__Vampyrellidae__Leptophrys	NA	1	NA	3
__Fungi__Ascomycota__Lichinomycetes	NA	1	NA	2
__Metazoa__Echinodermata__Echinoidea	NA	NA	NA	2
__Metazoa__Nematoda__Chromadorea	NA	NA	NA	4
__Ochrophyta__Chrysophyceae__Chrysocapsales	0.5	0.5	NA	3
__Chloroplastida__Chlorophyta__Dolichomastigales	1	NA	NA	3
__Kathablepharidae__Hatena__Hatena	NA	NA	NA	2
__Metazoa__Mammalia__Mammalia	1	NA	NA	2
__Metazoa__Platyhelminthes__Catenulida	NA	NA	NA	2
__Metazoa__Brachiopoda__Phoronis	NA	1	NA	2
__Apusomonadidae__Amastigomonas__Amastigomonas	NA	NA	NA	2
__Heterophryidae__Sphaerastrum__Sphaerastrum	NA	NA	NA	2
__DH147-EKD10__Nasturtium__Nasturtium	1	NA	NA	1
__Ochrophyta__Chrysophyceae__LG01-09	NA	1	NA	4
__Peronosporomycetes__Pythium__Pythium	NA	NA	NA	2
__Cercozoa__Imbricatea__Nudifila	NA	NA	NA	2
__Fungi__Blastocladiomycota__Blastocladiomycetes	NA	NA	NA	2
__Prymnesiophyceae__Prymnesiales__Dicrateria	NA	NA	NA	1
__Ochrophyta__Chrysophyceae__A1	NA	NA	NA	2
__Choanoflagellida__Acanthoecida__Acanthoecidae	1	NA	NA	2
__Prymnesiophyceae__Prymnesiales__Imantonia	NA	NA	NA	1
__Metazoa__Arthropoda__Arachnida	NA	NA	NA	4
__Fungi__Chytridiomycota__Monoblepharidomycetes	NA	NA	NA	2
__Ochrophyta__Chrysophyceae__LG21-05	NA	1	NA	2
__Acanthocystidae__Choanocystis__Choanocystis	1	NA	NA	2
