Taxa	Fresh	Brackish	Marine	total
__Metazoa__Arthropoda__Maxillopoda	0.214285714285714	0.333333333333333	0.452380952380952	182
__Metazoa__Tunicata__Appendicularia	0.142857142857143	0.857142857142857	NA	87
__Dinoflagellata__Dinophyceae__Gymnodiniphycidae	0.434343434343434	0.318181818181818	0.247474747474747	292
__Ochrophyta__Raphidophyceae__Chattonellales	NA	1	NA	19
__Dinoflagellata__Dinophyceae__Peridiniphycidae	0.489795918367347	0.489795918367347	0.0204081632653061	127
__Ochrophyta__Diatomea__Bacillariophytina	0.198924731182796	0.725806451612903	0.0752688172043011	286
__Dinoflagellata__Dinophyceae__SL163A10	0.142857142857143	NA	0.857142857142857	11
__Metazoa__Actinopterygii__Actinopterygii	0.218181818181818	0.781818181818182	NA	74
__Cryptomonadales__Cryptomonas__Cryptomonas	0.72	0.28	NA	79
__Ciliophora__Spirotrichea__Hypotrichia	1	NA	NA	32
__FV18-2D11__uncultured__uncultured	0.487745098039216	0.424019607843137	0.0882352941176471	617
__Chloroplastida__Chlorophyta__Chlorophyceae	0.633802816901408	0.366197183098592	NA	116
__Metazoa__Mollusca__Bivalvia	0.148148148148148	0.777777777777778	0.0740740740740741	32
__Chloroplastida__Chlorophyta__Trebouxiophyceae	0.40625	0.375	0.21875	37
__Metazoa__Gastrotricha__Chaetonotida	0.333333333333333	0.666666666666667	NA	81
__Chloroplastida__Phragmoplastophyta__Desmidiales	1	NA	NA	22
__Chloroplastida__Phragmoplastophyta__Embryophyta	NA	0.75	0.25	34
__Metazoa__Annelida__Polychaeta	NA	0.533333333333333	0.466666666666667	45
__Protalveolata__Colpodellida__Colpodella	0.928571428571429	0.0714285714285714	NA	23
__Protalveolata__Syndiniales__Syndiniales_Group_I	NA	0.210526315789474	0.789473684210526	54
__Ciliophora__Spirotrichea__Oligotrichia	0.272727272727273	0.727272727272727	NA	65
__Dinoflagellata__Dinophyceae__BAQK03	NA	1	NA	3
__Ciliophora__Litostomatea__Mesodiniidae	NA	0.166666666666667	0.833333333333333	23
__Chloroplastida__Chlorophyta__Mamiellophyceae	0.0714285714285714	0.714285714285714	0.214285714285714	35
__Discicristata__Euglenozoa__Euglenida	NA	NA	NA	1
__Cryptomonadales__Teleaulax__Teleaulax	0.289473684210526	0.552631578947368	0.157894736842105	66
__Fungi__Chytridiomycota__Chytridiomycetes	0.631578947368421	0.368421052631579	NA	61
__Ciliophora__Conthreep__Phyllopharyngea	0.230769230769231	0.769230769230769	NA	14
__Chloroplastida__Chlorophyta__Prasinophytae	NA	0.470588235294118	0.529411764705882	29
__Ciliophora__Litostomatea__Haptoria	0.5	0.5	NA	55
__Picomonadida__Picomonadidae__Picomonas	NA	0.230769230769231	0.769230769230769	13
__Ochrophyta__Chrysophyceae__LG07-07	0.642857142857143	0.357142857142857	NA	32
__Dinoflagellata__Dinophyceae__Prorocentrales	NA	0.6	0.4	14
__Ciliophora__Conthreep__Prostomatea	0.353846153846154	0.615384615384615	0.0307692307692308	97
__Prymnesiophyceae__Prymnesiales__Chrysochromulina	NA	0.166666666666667	0.833333333333333	25
__Cryptomonadales__Plagioselmis__Plagioselmis	0.875	0.125	NA	8
__Metazoa__Kinorhyncha__Cyclorhagida	NA	NA	NA	1
__Metazoa__Rotifera__Monogononta	0.844444444444444	0.133333333333333	0.0222222222222222	55
__Cercozoa__Thecofilosea__Cryomonadida	NA	0.588235294117647	0.411764705882353	52
__Kathablepharidae__Katablepharis__Katablepharis	NA	1	NA	14
__Ochrophyta__Chrysophyceae__Synurales	0.5	0.5	NA	58
__Ciliophora__Spirotrichea__Euplotia	NA	NA	NA	1
__Ochrophyta__Diatomea__Coscinodiscophytina	0.27027027027027	0.405405405405405	0.324324324324324	44
__Ciliophora__Heterotrichea__Spirostomum	NA	NA	NA	1
__Metazoa__Typhlocoela__Typhlocoela	NA	1	NA	9
__Ochrophyta__Chrysophyceae__P34.48	0.473684210526316	0.526315789473684	NA	21
__Ciliophora__Conthreep__Oligohymenophorea	0.825	0.175	NA	84
__Ochrophyta__Bolidomonas__Bolidomonas	0.166666666666667	0.833333333333333	NA	24
__Protalveolata__Perkinsidae__A31	0.378378378378378	0.621621621621622	NA	199
