Taxa	Fresh	Brackish	Marine	total
__Metazoa__Arthropoda	0.214285714285714	0.333333333333333	0.452380952380952	201
__Metazoa__Tunicata	0.142857142857143	0.857142857142857	NA	87
__Dinoflagellata__Dinophyceae	0.43006993006993	0.346153846153846	0.223776223776224	519
__Ochrophyta__Raphidophyceae	NA	1	NA	19
__Ochrophyta__Diatomea	0.209821428571429	0.674107142857143	0.116071428571429	332
__Metazoa__Actinopterygii	0.218181818181818	0.781818181818182	NA	74
__Cryptomonadales__Cryptomonas	0.72	0.28	NA	79
__Ciliophora__Spirotrichea	0.514124293785311	0.412429378531073	0.0734463276836158	254
__FV18-2D11__uncultured	0.403361344537815	0.470588235294118	0.126050420168067	146
__Chloroplastida__Chlorophyta	0.363095238095238	0.452380952380952	0.18452380952381	247
__Metazoa__Mollusca	0.137931034482759	0.724137931034483	0.137931034482759	36
__Metazoa__Gastrotricha	0.333333333333333	0.666666666666667	NA	81
__Chloroplastida__Phragmoplastophyta	0.578947368421053	0.315789473684211	0.105263157894737	56
__Metazoa__Annelida	0.117647058823529	0.470588235294118	0.411764705882353	61
__Protalveolata__Colpodellida	0.928571428571429	0.0714285714285714	NA	23
__Protalveolata__Syndiniales	NA	0.431034482758621	0.568965517241379	115
__Ciliophora__Litostomatea	0.395833333333333	0.395833333333333	0.208333333333333	82
__Discicristata__Euglenozoa	NA	NA	NA	1
__Cryptomonadales__Teleaulax	0.289473684210526	0.552631578947368	0.157894736842105	66
__Fungi__Chytridiomycota	0.531645569620253	0.468354430379747	NA	140
__Ciliophora__Conthreep	0.504201680672269	0.478991596638655	0.0168067226890756	201
__Picomonadida__Picomonadidae	NA	0.230769230769231	0.769230769230769	13
__Ochrophyta__Chrysophyceae	0.505791505791506	0.494208494208494	NA	378
__Prymnesiophyceae__Prymnesiales	NA	0.142857142857143	0.857142857142857	55
__Cryptomonadales__Plagioselmis	0.875	0.125	NA	8
__Metazoa__Kinorhyncha	NA	NA	NA	1
__Fungi__Cryptomycota	0.075	0.925	NA	52
__Metazoa__Rotifera	0.854166666666667	0.125	0.0208333333333333	67
__Cercozoa__Thecofilosea	0.0923076923076923	0.492307692307692	0.415384615384615	145
__Kathablepharidae__Katablepharis	NA	1	NA	14
__Ciliophora__Heterotrichea	NA	1	NA	9
__Choanoflagellida__Acanthoecida	0.272727272727273	0.636363636363636	0.0909090909090909	24
__Metazoa__Typhlocoela	NA	1	NA	9
__Ochrophyta__Bolidomonas	0.166666666666667	0.833333333333333	NA	24
__Cercozoa__Novel_Clade_2	0.608695652173913	0.304347826086957	0.0869565217391304	78
__Protalveolata__Perkinsidae	0.373333333333333	0.626666666666667	NA	201
__Choanoflagellida__Craspedida	0.842105263157895	0.157894736842105	NA	23
__Cryptomonadales__Hemiselmis	NA	0.5	0.5	10
__Cryptomonadales__FV18-2G7	NA	NA	1	15
__Metazoa__Platyhelminthes	NA	NA	1	23
__Prymnesiophyceae__Phaeocystis	NA	NA	1	29
__Cercozoa__Novel_Clade_10	0.645161290322581	0.354838709677419	NA	42
__Kathablepharidae__Leucocryptos	NA	NA	NA	5
__Cryptomonadales__Rhodomonas	0.333333333333333	0.666666666666667	NA	8
__Cercozoa__Phytomyxea	NA	0.5	0.5	6
__Incertae_Sedis__Incertae_Sedis	0.125	0.5	0.375	43
__Choanoflagellida__Clade_L	0.666666666666667	0.333333333333333	NA	41
__Fungi__Mucoromycotina	1	NA	NA	5
__Rhodophyceae__Florideophycidae	NA	NA	1	4
__Metazoa__Cnidaria	0.210526315789474	0.263157894736842	0.526315789473684	26
__MAST-7__MAST-7A	NA	NA	NA	5
__Cercozoa__Imbricatea	0.366666666666667	0.466666666666667	0.166666666666667	45
__Metazoa__Cyclocoela	NA	NA	NA	2
__Fungi__Microsporidia	NA	NA	1	2
__Fungi__Ascomycota	0.535714285714286	0.464285714285714	NA	56
__Apicomplexa__Conoidasida	1	NA	NA	28
__Cercozoa__Glissomonadida	0.272727272727273	0.727272727272727	NA	17
__Cercozoa__Vampyrellidae	0.8	0.2	NA	9
__MAST-1__MAST-1C	NA	0.571428571428571	0.428571428571429	10
__Metazoa__Porifera	1	NA	NA	6
__Cryptomonadales__Geminigera	NA	NA	1	2
__Dinoflagellata__Noctilucales	NA	1	NA	4
__Peronosporomycetes__Aphanomyces	NA	1	NA	1
__Prymnesiophyceae__Isochrysidales	NA	1	NA	2
__MAST-3__MAST-3F	0.5	0.5	NA	6
__Prymnesiophyceae__Coccolithales	NA	NA	1	3
__Cryptomonadales__Komma	1	NA	NA	2
__Cercozoa__Clathrulinidae	NA	1	NA	2
__Filasterea__Filasterea	NA	1	NA	4
__Labyrinthulomycetes__Thraustochytriaceae	NA	NA	NA	2
__Cryptomonadales__Chroomonas	NA	1	NA	1
__Ichthyosporea__Ichthyosporea	NA	NA	1	6
__Cercozoa__Chlorarachniophyta	NA	NA	NA	2
__Cercozoa__Cercomonadidae	NA	1	NA	3
__Ochrophyta__Eustigmatophyceae	0.333333333333333	0.666666666666667	NA	6
__Cercozoa__CCW10	NA	1	NA	2
__Metazoa__Echinodermata	NA	NA	NA	2
__Metazoa__Nematoda	NA	NA	NA	4
__Kathablepharidae__Hatena	NA	NA	NA	2
__Metazoa__Mammalia	1	NA	NA	2
__Metazoa__Brachiopoda	NA	1	NA	2
__Ochrophyta__MOCH-2	NA	NA	1	2
__Apusomonadidae__Amastigomonas	NA	NA	NA	2
__Heterophryidae__Sphaerastrum	NA	NA	NA	2
__Cercozoa__PCB11AU2004	NA	NA	NA	2
__DH147-EKD10__Nasturtium	1	NA	NA	1
__Peronosporomycetes__Pythium	NA	NA	NA	2
__Fungi__Blastocladiomycota	NA	NA	NA	2
__Acanthocystidae__Choanocystis	1	NA	NA	2
