taxa	type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
AACY023865524.1.1222	brackishBloom	brackishRestricted	0.0021144722209917957	0.025790136869740573	0.004946371927897821	18.8	21.6	0.0086548883194296	0.2308714126955433	0.001862078553884792	brackish	11.0	30.0
EF016484.1.1484	noclass	noclass	8.090298273618048e-05	0.0014014045502818522	0.0005206048321728714	19.0	23.5	6.268474813391804e-05	0.06437553328308644	0.03751284594120146	No	10.0	25.0
JN626820.1.1334	freshRestricted	freshRestricted	0.008673072806252468	0.0024039237028649395	0.0005339556628930834	11.0	15.0	0.0001032869996381135	0.031280687375310035	1.8756519500495982e-08	No	0.0	25.0
JQ712058.1.1483	brackishRestricted	brackishRestricted	0.00014640854553856373	0.013169338919717341	0.0015150267517300246	11.0	25.0	2.222366657695118e-10	0.002364030801703001	2.2233318163790207e-05	No	10.0	25.0
EU799011.1.1398	marineRestricted	marineRestricted	1.332603066852698e-06	0.0006937855755226697	0.00030841722625452614	23.0	25.0	2.667273979268519e-07	0.2316223527090479	2.667273979268519e-07	No	10.0	30.0
EU799087.1.1203	brackishPeakHiToler	brackishRestricted	0.0007007704806104366	0.08599951152527083	0.040976021212433246	11.0	18.0	3.145381499864399e-08	0.007319396819798682	1.3080961988183177e-08	No	10.0	26.0
EU801730.1.1432	brackishRestricted	brackishRestricted	0.0003731853978106803	0.022131358146000518	0.003946867327791923	11.0	16.0	9.234886307738908e-08	0.0010372216785303797	0.0002274827040820231	No	10.0	25.0
FR684443.1.1425	marineRestricted	marineRestricted	3.18287117121356e-05	0.001529299819392093	0.0009156037996289011	11.0	23.5	8.343328868748855e-09	0.0771486537916002	3.863398452617143e-08	No	11.0	30.0
LN909521.1.1344	noclass	noclass	0.0	6.81527127949586e-05	1.3593590724400197e-05	8.8	11.6	0.00945177150556067	0.11192328405733304	0.10172434113435247	No	11.0	25.0
HM856537.1.1451	freshRestricted	freshRestricted	0.0048701582106190616	0.0018684921572064207	0.00012979436277645557	1.5	10.0	0.11259105830416366	2.9843554636026526e-06	7.869663015361971e-05	No	0.0	10.0
GQ848398.1.912	brackishRestricted	brackishRestricted	4.00711176189415e-05	0.0005640529379197464	0.00010119637481665571	15.0	23.5	1.7076012609764416e-05	0.0060951894752401545	0.08495543649068593	No	5.0	25.0
EU799803.1.1257	brackishPeakHiToler	brackishRestricted	0.0005815332222063585	0.027806258051476386	0.012271083382119985	11.0	18.0	6.926373042673785e-08	0.0010479299829832466	9.030114275042613e-08	No	10.0	30.0
GU451672.1.1244	marineRestricted	marineRestricted	0.0010998180363852262	0.07371855037165388	0.11240670357114707	11.0	27.0	6.363436283687448e-10	0.4882477506349069	0.000828716255815872	No	11.0	30.0
GU940685.1.1378	marineRestricted	marineRestricted	0.0	6.444156479427518e-05	0.00016345333004579086	11.0	26.0	0.002622296256403372	0.25148655372455275	0.0006518401454667942	No	11.0	27.0
KF650388.1.1466	freshRestricted	freshRestricted	0.05542590827360884	0.07309329130655964	0.007921981518942278	4.5	10.0	0.08592866953139966	0.0003687253385064595	3.173747120904006e-08	No	0.0	17.0
AY165580.1.1358	marineRestricted	marineRestricted	0.0013484866978337507	0.00783788602690129	0.01854738348485327	23.0	25.0	0.0031335673816982883	0.046347901278906284	6.0181360306901494e-05	No	13.0	30.0
FJ826012.1.1300	brackishPeakHiToler	brackishRestricted	0.0028828143804015775	0.04648696706899771	0.028051828463210682	14.0	18.0	9.429325255821683e-07	0.021550169196842682	2.551299650643694e-07	No	11.0	30.0
KP687207.1.1452	freshRestricted	freshRestricted	0.0029365727068874563	0.0006079857249520217	4.050491798518113e-05	1.5	10.0	0.02376303762919579	2.081342282253356e-07	3.3546990860965086e-07	No	0.0	10.0
FJ802321.1.1209	freshRestricted	freshRestricted	0.004504660812782287	0.0004699743543464317	3.974806297912702e-05	3.0	10.0	0.13598719686652327	9.51867543813947e-07	1.4086982886854699e-08	No	0.0	2.0
AY697901.1.1458	noclass	noclass	2.691082689476631e-05	0.00028135330941830204	3.561027101959837e-05	24.0	26.0	0.3028443042732447	0.4461475590424884	0.2953699931796814	No	11.0	30.0
FR684711.1.1501	brackishBloom	brackishRestricted	0.0	0.00010841453022879862	1.6909669907820653e-05	8.8	11.6	0.00027598920403728845	0.026995405825791803	0.03194132273435658	brackish	11.0	28.0
DQ071072.1.1443	marineRestricted	marineRestricted	0.00018829597450663012	0.002802060551664938	0.004499302950176063	12.5	18.0	2.1234735713629828e-07	0.2604136096912456	2.4333129589989356e-07	No	11.0	30.0
JF927245.1.1203	brackishPeakHiToler	brackishRestricted	0.005509579834635295	0.05654113221318842	0.014722149898682138	16.0	21.5	4.87956136441631e-05	0.016322999466619314	0.00010336460409356778	No	7.0	27.0
EU800923.1.1268	freshRestricted	freshRestricted	0.04236862338739424	0.05344408112752141	0.006267880332705578	3.0	10.0	0.052766109551023295	2.122170369462618e-05	2.4875402655943173e-08	No	0.0	27.0
AB930766.1.1445	freshRestricted	freshRestricted	0.012827010929487946	0.009053503156561818	0.0007969145326302085	1.5	10.0	0.1342339767064052	2.785044291772287e-06	7.79054969785327e-06	No	0.0	15.0
KC189761.1.1510	freshRestricted	freshRestricted	0.003349601683305022	0.0	0.0	1.489795918367347	15.244897959183673	0.01391335786036306	1	0.01580366182460312	No	0.0	0.0
KF384203.1.1275	freshRestricted	freshRestricted	0.0275783105785841	0.018192495876508005	0.00262677983438608	1.5	10.0	0.1840327531527423	5.7901623281177916e-06	2.0345086076733536e-07	No	0.0	20.0
FJ240419.1.1203	noclass	noclass	0.0003206217975101853	0.0	5.2495983052235926e-05	1.5	8.0	0.2234364103554154	0.061450876989976304	0.155656864205878	No	11.0	30.0
KM588220.1.1386	brackishBloom	brackishRestricted	1.1575278011293327e-05	0.004567816704071411	0.00038782560474671186	8.8	11.6	0.14938937704940047	0.444092612647212	0.025590005164077105	brackish	0.0	16.0
GQ348530.1.1373	marineRestricted	marineRestricted	5.62499897196599e-05	0.0033587026925980656	0.006737722593575111	15.0	27.0	2.503974337769949e-07	0.2251788031206869	0.0006535475306194632	No	15.0	30.0
JQ196066.1.1371	marineRestricted	marineRestricted	3.614792977926607e-05	0.004482454091338674	0.009259256224444599	11.0	21.5	2.491095635928978e-08	0.08103827130511465	0.0016722875051970606	No	10.0	33.0
HM129252.1.1436	freshRestricted	freshRestricted	0.014985987334379221	0.0008623441742513824	0.00010918385404176664	1.5	10.0	0.0010123173311992245	6.84491754099559e-06	7.883228256041858e-08	No	0.0	2.0
FJ744926.1.1329	marineRestricted	marineRestricted	1.9151904889842382e-05	0.0003738511550934187	9.022755212649867e-05	18.8	21.6	0.00756702871678281	0.17086441991489904	0.011925004686354964	No	15.0	28.0
AY386336.1.1352	marineRestricted	marineRestricted	0.0008539310395329832	0.008043125956951074	0.0030258265971411444	23.0	25.0	0.00012343078024031523	0.18923879662233944	0.00799469554005402	No	7.0	28.0
EU799813.1.1466	brackishRestricted	brackishRestricted	0.0	0.00022044468286280954	0.0	9.0	15.0	0.0017451366760070147	0.0030813058367337625	1	No	10.0	15.0
AACY020497081.1472.2797	brackishPeakHiToler	brackishRestricted	0.001987060896922268	0.027613390855545997	0.007759383677034556	16.0	21.5	6.673740142941691e-06	0.0076311822273450215	1.669183671669275e-05	No	10.0	27.0
JX537817.1.1330	brackishPeakHiToler	brackishRestricted	0.0005171742943152564	0.022904889886346206	0.006694751378445321	11.0	16.0	1.3241694881377447e-07	0.00022541218752838678	4.1803221198969227e-07	No	10.0	30.0
EF659445.1.1376	marineRestricted	marineRestricted	0.0	0.001489442059185463	0.0008274017620970689	11.0	23.5	9.687585686880109e-05	0.19205937385807142	0.00344530384836765	No	14.9	33.0
KF697416.1.1227	freshRestricted	freshRestricted	0.003998992060745344	0.0005393603019712406	6.407493377274207e-05	1.5	10.0	0.0037359196453940293	6.24882509801416e-07	7.004476887051964e-08	No	0.0	10.0
JQ712066.1.1496	marineRestricted	marineRestricted	4.1693123229392757e-05	0.0006507515367509027	0.007856939145020265	19.0	27.0	0.035827085978979496	0.13005248013291876	0.013489559697316468	No	16.0	33.0
